parent,child
turn.v.01,swerve.v.01
turn.v.01,gyrate.v.01
turn.v.01,bend.v.02
turn.v.01,deflect.v.02
turn.v.01,twist.v.03
turn.v.01,flip.v.01
turn.v.01,deviate.v.01
turn.v.01,roll_over.v.01
turn.v.01,roll.v.01
move.v.03,turn.v.01
move.v.03,run.v.06
move.v.03,exit.v.01
move.v.03,flow.v.01
move.v.03,writhe.v.01
move.v.03,jump.v.01
move.v.03,arouse.v.06
move.v.03,gravitate.v.03
move.v.03,fly.v.02
move.v.03,move_over.v.01
move.v.03,stumble.v.02
move.v.03,hop.v.02
move.v.03,climb.v.02
move.v.03,spread.v.02
move.v.03,steal.v.02
move.v.03,turn.v.09
move.v.03,flex.v.04
move.v.03,dance.v.02
move.v.03,hop_on.v.01
move.v.03,flinch.v.01
move.v.03,beat.v.04
move.v.03,beat.v.15
move.v.03,pulsate.v.02
move.v.03,list.v.03
move.v.03,sweep.v.02
move.v.03,shake.v.01
move.v.03,separate.v.09
move.v.03,snap.v.04
move.v.03,snap.v.10
move.v.03,move_back_and_forth.v.01
move.v.03,snap.v.07
move.v.03,stir.v.02
move.v.03,careen.v.02
move.v.03,lurch.v.02
move.v.03,whirl.v.05
move.v.03,cant.v.01
move.v.03,crash.v.02
move.v.03,roll.v.11
move.v.03,brush.v.04
move.v.03,quicken.v.04
move.v.03,diverge.v.01
move.v.03,close.v.10
move.v.03,close.v.11
move.v.03,buck.v.04
move.v.03,assume.v.05
move.v.03,strike_out.v.04
move.v.03,cut.v.14
move.v.03,stretch.v.11
move.v.03,startle.v.02
move.v.03,churn.v.02
move.v.03,lunge.v.01
be.v.01,wind.v.02
be.v.01,rank.v.01
be.v.01,suffer.v.06
be.v.01,rest.v.01
be.v.01,stand.v.02
be.v.01,stand.v.03
be.v.01,stay.v.01
be.v.01,continue.v.10
be.v.01,measure.v.03
be.v.01,total.v.01
be.v.01,look.v.02
be.v.01,look.v.03
be.v.01,relate.v.04
be.v.01,count.v.02
be.v.01,tend.v.01
be.v.01,gravitate.v.02
be.v.01,subtend.v.01
be.v.01,work.v.14
be.v.01,account.v.01
be.v.01,owe.v.03
be.v.01,kill.v.04
be.v.01,head.v.04
be.v.01,pay.v.07
be.v.01,prove.v.01
be.v.01,beat.v.12
be.v.01,confuse.v.02
be.v.01,begin.v.06
be.v.01,begin.v.07
be.v.01,sell.v.02
be.v.01,sell.v.06
be.v.01,sell.v.07
be.v.01,want.v.02
be.v.01,specify.v.03
be.v.01,deck.v.01
be.v.01,rate.v.02
be.v.01,swim.v.04
be.v.01,make.v.31
be.v.01,wash.v.05
be.v.01,act.v.06
be.v.01,swim.v.03
be.v.01,figure.v.02
be.v.01,lend.v.03
be.v.01,breathe.v.04
be.v.01,balance.v.04
be.v.01,cost.v.01
be.v.01,lubricate.v.01
be.v.01,distribute.v.09
be.v.01,lie.v.04
be.v.01,range.v.01
be.v.01,compare.v.02
be.v.01,hang.v.06
be.v.01,stay.v.04
be.v.01,cover.v.18
be.v.01,test.v.04
be.v.01,run.v.05
be.v.01,fit.v.07
be.v.01,incarnate.v.02
be.v.01,end.v.03
be.v.01,hold.v.17
be.v.01,contain.v.05
