,node1,node2,weight
0,car,automobile,0.55
1,gem,jewel,0.55
2,journey,voyage,0.4078909167902615
3,boy,lad,0.55
4,coast,shore,0.4078909167902615
5,asylum,madhouse,0.4078909167902615
6,magician,wizard,0.55
7,midday,noon,0.55
8,furnace,stove,0.06786285128097977
9,food,fruit,0.06786285128097977
10,bird,cock,0.4078909167902615
11,bird,crane,0.22434000423464384
12,tool,implement,0.4078909167902615
13,brother,monk,0.4078909167902615
14,lad,brother,0.30250000000000005
15,crane,implement,0.30250000000000005
16,journey,car,0.006209875035030158
17,monk,oracle,0.12338700232905413
18,cemetery,woodland,0.09150625000000003
19,food,rooster,0.011290681881873012
20,coast,hill,0.30250000000000005
21,forest,graveyard,0.09150625000000003
22,shore,woodland,0.30250000000000005
23,monk,slave,0.30250000000000005
24,coast,forest,0.22434000423464384
25,lad,wizard,0.30250000000000005
26,chord,smile,0.05032843750000002
27,glass,magician,0.12338700232905413
28,rooster,voyage,0.0010331679589531428
29,noon,string,0.03732456820453888
