,node1,node2,weight
0,water,shortage,0.05032843750000002
1,horse,wedding,0.09150625000000003
2,play,loss,0.4078909167902615
3,classic,advertiser,0.16637500000000005
4,latin,credit,0.09150625000000003
5,ship,ballot,0.008373393789062506
6,mistake,error,0.55
7,disease,plague,0.16637500000000005
8,sake,shade,0.09150625000000003
9,saint,observatory,0.09150625000000003
10,treaty,wheat,0.020528512512496384
11,texas,death,0.55
12,republican,challenge,0.12338700232905413
13,admiralty,intensity,0.03732456820453888
14,heroin,marijuana,0.4078909167902615
15,scottish,commuter,0.011290681881873012
16,apollo,myth,0.05032843750000002
17,film,cautious,0.12338700232905413
18,exhibition,art,0.16637500000000005
19,chocolate,candy,0.16637500000000005
20,republic,candidate,0.06786285128097977
21,gospel,church,0.06786285128097977
22,singapore,sanction,0.12338700232905413
23,english,french,0.55
24,exile,church,0.09150625000000003
25,navy,coordinator,0.01522435234375001
26,adventure,flood,0.06786285128097977
27,radar,plane,0.16637500000000005
28,pacific,ocean,0.16637500000000005
29,scotch,liquor,0.30250000000000005
30,kennedy,gun,0.09150625000000003
31,garfield,cat,0.09150625000000003
32,scale,budget,0.22434000423464384
33,rhythm,blue,0.12338700232905413
34,rich,privilege,0.09150625000000003
35,marble,marching,0.011290681881873012
36,battleship,army,0.008373393789062506
37,medium,organization,0.4078909167902615
38,pennsylvania,writer,0.12338700232905413
39,hamlet,poet,0.09150625000000003
40,battle,prisoner,0.05032843750000002
41,guild,smith,0.09150625000000003
42,mud,soil,0.4078909167902615
43,mussolini,stability,0.12338700232905413
44,lincoln,division,0.16637500000000005
45,slave,insured,0.55
46,summer,winter,0.55
47,integration,dignity,0.09150625000000003
48,money,quota,0.12338700232905413
49,honolulu,vacation,0.06786285128097977
50,cheer,musician,0.06786285128097977
51,session,surprise,0.12338700232905413
52,billion,campaigning,0.020528512512496384
53,perjury,soybean,0.003415431269266587
54,forswearing,perjury,0.09150625000000003
55,costume,halloween,0.011290681881873012
56,bulgarian,nurse,0.16637500000000005
57,costume,ultimate,0.027680640625000013
58,faith,judging,0.12338700232905413
59,france,bridge,0.16637500000000005
60,recreation,dish,0.55
61,intelligence,trouble,0.22434000423464384
62,germany,worst,0.09150625000000003
63,chaos,death,0.55
64,sydney,hancock,0.55
65,sabbath,stevenson,0.05032843750000002
66,espionage,passport,0.020528512512496384
67,pipe,convertible,0.06786285128097977
68,salute,pattern,0.12338700232905413
69,radiation,costume,0.05032843750000002
70,horace,grief,0.06786285128097977
71,sale,rental,0.30250000000000005
72,open,close,0.09150625000000003
73,propaganda,germany,0.12338700232905413
74,mirror,duel,0.03732456820453888
75,probability,hanging,0.09150625000000003
76,africa,theater,0.12338700232905413
77,hell,heaven,0.55
78,mussolini,italy,0.55
79,composer,beethoven,0.06786285128097977
80,brussels,sweden,0.55
81,neutral,parish,0.06786285128097977
82,emotion,taxation,0.05032843750000002
83,louisiana,simple,0.16637500000000005
84,quarantine,disease,0.06786285128097977
85,bronze,suspicion,0.09150625000000003
86,pearl,interim,0.09150625000000003
87,artist,paint,0.06786285128097977
88,relay,family,0.30250000000000005
89,art,mortality,0.12338700232905413
90,food,investment,0.09150625000000003
91,alt,tenor,0.09150625000000003
92,catholic,protestant,0.55
93,militia,landlord,0.027680640625000013
94,battle,warship,0.01522435234375001
95,coil,ash,0.09150625000000003
96,poland,russia,0.55
97,explosive,builder,0.4078909167902615
98,aeronautics,plane,0.027680640625000013
99,charge,sentence,0.12338700232905413
100,drink,alcohol,0.55
101,stability,specie,0.05032843750000002
102,colony,depression,0.16637500000000005
103,easter,preference,0.01522435234375001
104,genius,intellect,0.55
105,slavery,african,0.05032843750000002
106,jurisdiction,law,0.12338700232905413
107,saint,repeal,0.01522435234375001
108,conspiracy,campaign,0.05032843750000002
109,operator,extract,0.12338700232905413
