,node1,node2,weight
0,provincialism,narrow-mindedness,0.4078909167902615
1,provincialism,partiality,0.4078909167902615
2,instrumentality,department,0.30250000000000005
3,instrumentality,utility,0.4078909167902615
4,involvement,action,0.55
5,involvement,implication,0.4078909167902615
6,ecclesiastic,clergyman,0.4078909167902615
7,brigadier,general,0.55
8,aspirate,remove,0.05032843750000002
9,monotype,machine,0.22434000423464384
10,campfire,fire,0.4078909167902615
11,cognizance,knowing,0.4078909167902615
12,imperfection,state,0.4078909167902615
13,assessment,charge,0.4078909167902615
14,assessment,assay,0.4078909167902615
15,principality,domain,0.4078909167902615
16,diagonal,line,0.4078909167902615
17,diagonal,heterosexual,0.12338700232905413
18,antifeminism,sexism,0.4078909167902615
19,attacker,wrongdoer,0.4078909167902615
20,friendship,brotherhood,0.16637500000000005
21,elector,voter,0.55
22,vulgarism,profanity,0.4078909167902615
23,vulgarism,inelegance,0.4078909167902615
24,wanderer,program,0.4078909167902615
25,wanderer,nomad,0.4078909167902615
26,hyperlink,link,0.4078909167902615
27,radiator,beginning,0.16637500000000005
28,radiator,system,0.30250000000000005
29,postmodernism,genre,0.4078909167902615
30,excavation,site,0.4078909167902615
31,excavation,removal,0.06786285128097977
32,listener,eavesdropper,0.4078909167902615
33,inability,insufficiency,0.4078909167902615
34,inability,incomprehension,0.4078909167902615
35,monoculture,culture,0.4078909167902615
36,tricolour,flag,0.4078909167902615
37,omnipotence,state,0.4078909167902615
38,disinheritance,discontinuance,0.4078909167902615
39,cession,relinquishment,0.4078909167902615
40,assessment,classification,0.4078909167902615
41,prescription,medicine,0.4078909167902615
42,prescription,direction,0.4078909167902615
43,antipsychotic,lithium,0.05032843750000002
44,rooster,cockerel,0.4078909167902615
45,yodeling,singing,0.4078909167902615
46,unison,concurrence,0.55
47,unison,agreement,0.4078909167902615
48,preteen,juvenile,0.4078909167902615
49,monogram,symbol,0.4078909167902615
50,opalescence,brightness,0.4078909167902615
51,coeducation,education,0.4078909167902615
