,node1,node2,weight
0,tiger,cat,0.4078909167902615
1,tiger,tiger,1.0
2,plane,car,0.16637500000000005
3,train,car,0.22434000423464384
4,television,radio,0.55
5,medium,radio,0.30250000000000005
6,bread,butter,0.4078909167902615
7,cucumber,potato,0.4078909167902615
8,doctor,nurse,0.4078909167902615
9,professor,doctor,0.16637500000000005
10,student,professor,0.12338700232905413
11,smart,stupid,0.020528512512496384
12,wood,forest,0.55
13,money,cash,0.55
14,king,queen,0.55
15,king,rook,0.55
16,bishop,rabbi,0.30250000000000005
17,fuck,sex,0.30250000000000005
18,football,soccer,0.4078909167902615
19,football,basketball,0.55
20,football,tennis,0.22434000423464384
21,Arafat,Jackson,0.55
22,physic,chemistry,0.12338700232905413
23,vodka,gin,0.55
24,vodka,brandy,0.55
25,car,automobile,0.55
26,gem,jewel,0.55
27,journey,voyage,0.4078909167902615
28,boy,lad,0.55
29,coast,shore,0.4078909167902615
30,asylum,madhouse,0.4078909167902615
31,magician,wizard,0.55
32,midday,noon,0.55
33,furnace,stove,0.06786285128097977
34,food,fruit,0.06786285128097977
35,bird,cock,0.4078909167902615
36,bird,crane,0.22434000423464384
37,food,rooster,0.011290681881873012
38,money,dollar,0.30250000000000005
39,money,currency,0.55
40,tiger,jaguar,0.55
41,tiger,feline,0.30250000000000005
42,tiger,carnivore,0.22434000423464384
43,tiger,mammal,0.16637500000000005
44,tiger,animal,0.4078909167902615
45,tiger,organism,0.30250000000000005
46,tiger,fauna,0.4078909167902615
47,psychology,psychiatry,0.16637500000000005
48,psychology,science,0.4078909167902615
49,psychology,discipline,0.30250000000000005
50,planet,star,0.55
51,planet,moon,0.4078909167902615
52,planet,sun,0.4078909167902615
53,precedent,example,0.4078909167902615
54,precedent,antecedent,0.22434000423464384
55,cup,tableware,0.30250000000000005
56,cup,artifact,0.22434000423464384
57,cup,object,0.12338700232905413
58,cup,entity,0.12338700232905413
59,jaguar,cat,0.4078909167902615
60,jaguar,car,0.008373393789062506
61,mile,kilometer,0.4078909167902615
62,skin,eye,0.22434000423464384
63,Japanese,American,0.4078909167902615
64,century,year,0.55
65,announcement,news,0.30250000000000005
66,doctor,personnel,0.03732456820453888
67,Harvard,Yale,0.55
68,hospital,infrastructure,0.03732456820453888
69,life,death,0.55
70,travel,activity,0.22434000423464384
71,type,kind,0.4078909167902615
72,street,place,0.22434000423464384
73,street,avenue,0.4078909167902615
74,street,block,0.22434000423464384
75,cell,phone,0.30250000000000005
76,dividend,payment,0.30250000000000005
77,calculation,computation,0.55
78,profit,loss,0.22434000423464384
79,dollar,yen,0.4078909167902615
80,dollar,buck,0.55
81,phone,equipment,0.30250000000000005
82,liquid,water,0.4078909167902615
83,marathon,sprint,0.05032843750000002
84,seafood,food,0.4078909167902615
85,seafood,lobster,0.30250000000000005
86,lobster,food,0.22434000423464384
87,lobster,wine,0.05032843750000002
88,championship,tournament,0.55
89,man,woman,0.55
90,man,governor,0.30250000000000005
91,murder,manslaughter,0.55
92,opera,performance,0.22434000423464384
93,Mexico,Brazil,0.55
94,glass,metal,0.22434000423464384
95,aluminum,metal,0.4078909167902615
96,rock,jazz,0.55
97,museum,theater,0.16637500000000005
98,shower,thunderstorm,0.16637500000000005
99,monk,oracle,0.12338700232905413
100,cup,food,0.12338700232905413
101,journal,association,0.16637500000000005
102,street,child,0.06786285128097977
103,car,flight,0.12338700232905413
104,space,chemistry,0.22434000423464384
105,situation,conclusion,0.16637500000000005
106,word,similarity,0.12338700232905413
107,peace,plan,0.06786285128097977
108,consumer,energy,0.06786285128097977
109,ministry,culture,0.12338700232905413
110,smart,student,0.020528512512496384
111,investigation,effort,0.4078909167902615
112,image,surface,0.30250000000000005
113,life,term,0.55
114,start,match,0.16637500000000005
115,computer,news,0.05032843750000002
116,board,recommendation,0.03732456820453888
117,lad,brother,0.30250000000000005
118,observation,architecture,0.22434000423464384
119,coast,hill,0.30250000000000005
120,deployment,departure,0.30250000000000005
121,benchmark,index,0.4078909167902615
122,attempt,peace,0.06786285128097977
123,consumer,confidence,0.03732456820453888
124,start,year,0.22434000423464384
125,focus,life,0.16637500000000005
126,development,issue,0.4078909167902615
127,theater,history,0.16637500000000005
128,situation,isolation,0.4078909167902615
129,profit,warning,0.05032843750000002
130,medium,trading,0.16637500000000005
131,chance,credibility,0.22434000423464384
132,precedent,information,0.4078909167902615
133,architecture,century,0.06786285128097977
134,population,development,0.16637500000000005
135,peace,atmosphere,0.30250000000000005
136,morality,marriage,0.22434000423464384
137,minority,peace,0.22434000423464384
138,atmosphere,landscape,0.09150625000000003
