,word1,word2,similarity
0,water,shortage,2.714285714
1,horse,wedding,2.266666667
2,plays,losses,3.2
3,classics,advertiser,2.25
4,latin,credit,2.0625
5,ship,ballots,2.3125
6,mistake,error,4.352941176
7,disease,plague,4.117647058999999
8,sake,shade,2.529411765
9,saints,observatory,1.9375
10,treaty,wheat,1.8125
11,texas,death,1.533333333
12,republicans,challenge,2.3125
13,admiralty,intensity,2.647058824
14,heroin,marijuana,3.375
15,scottish,commuters,2.6875
16,apollo,myth,2.6
17,film,cautious,2.125
18,exhibition,art,4.117647058999999
19,chocolate,candy,3.764705882
20,republic,candidate,2.8125
21,gospel,church,4.0625
22,singapore,sanctions,2.1176470590000003
23,english,french,3.823529412
24,exile,church,2.9411764710000003
25,navy,coordinator,2.235294118
26,adventure,flood,2.4375
27,radar,plane,3.235294118
28,pacific,ocean,4.266666667
29,scotch,liquor,4.571428571
30,kennedy,gun,3.0
31,garfield,cat,2.866666667
32,scale,budget,3.5
33,rhythm,blues,3.071428571
34,rich,privileges,3.2
36,marble,marching,2.615384615
39,battleship,army,4.2352941180000006
40,medium,organization,2.5625
41,pennsylvania,writer,1.466666667
42,hamlet,poet,3.882352941
43,battle,prisoners,3.7058823530000002
44,guild,smith,2.75
45,mud,soil,4.2352941180000006
47,mussolini,stability,2.133333333
48,lincoln,division,2.4375
49,slaves,insured,2.2
50,summer,winter,4.375
51,integration,dignity,3.0588235289999997
52,money,quota,2.5
53,honolulu,vacation,3.6875
55,cheers,musician,2.823529412
56,session,surprises,1.8125
57,billion,campaigning,2.5714285709999998
58,perjury,soybean,2.0625
59,forswearing,perjury,3.3125
60,costume,halloween,3.4375
61,bulgarian,nurses,1.941176471
62,costume,ultimate,2.5
63,faith,judging,2.235294118
64,france,bridges,2.235294118
66,recreation,dish,1.4
67,intelligence,troubles,1.625
68,germany,worst,1.4375
69,chaos,death,2.75
70,sydney,hancock,2.857142857
71,sabbath,stevenson,2.214285714
72,espionage,passport,2.3125
73,pipe,convertible,2.0
75,salute,patterns,2.235294118
76,radiation,costumes,1.5625
77,horace,grief,1.764705882
78,sale,rental,3.470588235
79,open,close,4.058823529
81,propaganda,germany,1.705882353
83,mirror,duel,1.928571429
84,probability,hanging,2.058823529
85,africa,theater,1.5
86,hell,heaven,4.117647058999999
87,mussolini,italy,3.0
88,composer,beethoven,3.6470588239999997
90,brussels,sweden,3.176470588
91,neutral,parish,1.6
92,emotion,taxation,1.733333333
93,louisiana,simple,2.0
94,quarantine,disease,3.0
96,bronze,suspicion,2.0
97,pearl,interim,2.352941176
98,artist,paint,4.117647058999999
99,relay,family,2.0625
100,art,mortality,2.2941176469999998
101,food,investment,2.25
102,alt,tenor,2.692307692
103,catholics,protestant,3.5625
104,militia,landlord,3.0625
105,battle,warships,4.176470588
107,coil,ashes,3.117647059
108,poland,russia,4.0
109,explosive,builders,2.4375
110,aeronautics,plane,4.277777778
111,charge,sentence,3.133333333
113,drink,alcohol,4.352941176
114,stability,species,2.375
115,colonies,depression,2.0
116,easter,preference,2.0625
117,genius,intellect,4.090909091
119,slavery,african,2.8
120,jurisdiction,law,4.454545455
121,saints,repeal,1.5555555559999998
122,conspiracy,campaign,2.166666667
123,operator,extracts,2.214285714
124,physician,action,2.153846154
125,electronics,guess,1.9166666669999999
