word1,word2,similarity
provincialism,narrow-mindedness,8.11
provincialism,partiality,4.5
instrumentality,department,3
instrumentality,utility,7.29
involvement,action,6.86
involvement,implication,4.17
ecclesiastic,clergyman,8.67
brigadier,general,8.17
aspirate,remove,2.5
monotype,machine,5.25
campfires,fire,9.33
cognizance,knowing,9.44
imperfection,state,0.29
assessment,charge,4.4
assessment,assay,5.83
principality,domain,7.62
diagonals,line,7.57
diagonals,heterosexual,0.11
antifeminism,sexism,8.6
attackers,wrongdoer,7.5
friendships,brotherhood,7.5
elector,voter,7.83
vulgarism,profanity,9.62
vulgarism,inelegance,6.29
wanderers,program,0.29
wanderers,nomad,9.5
hyperlink,link,9.12
radiators,beginning,0
radiators,system,1
postmodernism,genre,2.8
excavations,site,5.29
excavations,removal,7.43
listeners,eavesdropper,8.14
inabilities,insufficiency,7.38
inabilities,incomprehension,4.33
monocultures,culture,4.5
tricolour,flag,5.8
omnipotence,state,0.86
disinheritance,discontinuance,5.67
cession,relinquishment,6.67
assessments,charge,5.12
assessments,classification,6.86
prescriptions,medicine,9.11
prescriptions,direction,2.57
antipsychotic,lithium,8.17
roosters,cockerel,8.56
yodeling,singing,7.5
unisons,concurrence,7.56
unisons,agreement,7.14
preteens,juvenile,8.4
monogram,symbol,7.25
opalescence,brightness,7.89
coeducation,education,7.71
exceedance,probability,5
tricycle,pedicab,6
ruralist,rustic,7.86
ruralist,advocate,0.67
conjurors,enchantress,7.5
comparing,compare,10
marketers,selling,8.43
hypercoaster,roller,3.25
pittance,payment,5.14
hypermarket,supermarket,5
confluent,branch,4.2
anterooms,building,6.14
summonings,page,5.43
summonings,demand,7.14
antechamber,room,7.88
concavity,shape,6.67
concavity,recess,7.67
spoonful,containerful,4.2
impurity,adulteration,6.33
impurity,waste,4.83
virginals,harpsichord,1.86
hypertexts,database,7
inheritances,acquisition,6.83
deadness,quality,0.38
deadness,inelasticity,4.29
conformism,legalism,3.67
tripods,tripod,10
unicycles,wheel,6.88
unicycles,bicycle,6.57
preservers,cook,5.17
preservers,worker,2.8
autografts,graft,5.33
subfamily,group,8
suppressor,gene,3.75
suppressor,restrainer,9.22
inquisitor,thousand,0.29
inquisitor,inquirer,7.8
gibberish,dutch,4
championship,status,4.6
championship,contest,6.22
sheikhdoms,domain,6.29
backwardness,idiocy,6.38
deviationism,desertion,3
capitation,tax,6
periodical,publication,9.14
distillate,liquid,8
dictatorship,state,6.75
anticyclones,high,4.5
circumference,size,7.83
repositions,move,9.11
librarianship,position,5.4
entreaty,request,8.5
convertible,car,7.29
convertible,security,0.38
kindergarteners,child,7.33
defiles,mar,8
defiles,spot,1.67
hankering,desire,8.6
hankering,longing,9.12
criticality,juncture,2
criticality,urgency,7.29
mayoralty,position,6.71
companionships,friendship,9.5
primates,priest,0.5
postboxes,maildrop,9.78
baseness,unworthiness,4
encroachments,inroad,6
encroachments,entrance,2.75
deregulating,liberation,8
shrieks,shout,8.89
shrieks,cry,8.67
territorials,soldier,5.6
territorials,guard,6.29
associations,sociable,6
admiralty,department,4.5
admiralty,position,7
autobiographer,biographer,7
planners,schemer,7.5
planners,notebook,6.86
supplement,leverage,2.6
brightness,intelligence,8.38
brightness,radiance,9.5
preschooler,child,7.75
baggers,machine,1.25
baggers,workman,6.14
willingness,wholeheartedness,7.71
replications,reproduction,8.4
replications,procedure,4.4
retrials,trial,6.5
venders,selling,8
fantasist,creator,5.4
repulses,disgust,8.67
repulses,fight,3
humanness,quality,4.8
parallelism,similarity,8.17
sightedness,sight,6.88
battleships,dreadnought,5.5
sufferance,self,2.29
monoplanes,airplane,7.62
hyperextension,extension,6.25
hilarity,gaiety,7.71
appearance,apparition,4.71
macroevolution,evolution,7
adventism,christianity,6.75
breather,submarine,1.25
breather,respite,8.62
transducers,device,6.29
icelandic,scandinavian,7.5
uncertainty,speculativeness,8
painkillers,hydrochloride,3.33
luxuriance,abundance,8.86
strangers,person,1
utilitarianism,doctrine,0.71
puffery,flattery,7.4
noncitizens,traveler,6.14
monsignori,priest,8.75
functionality,practicality,8.11
spoonfuls,containerful,4.8
instructorship,position,0.86
recorders,box,0
recorders,official,0.29
headship,position,5.4
credentials,document,6.2
credentials,certificate,7.5
deformity,appearance,5
religionist,person,5.33
warmness,protectiveness,6
warmness,hotness,8.57
cardinality,number,5.86
irrationality,insanity,8
absorbance,density,6
endangerment,hazard,9.67
decomposition,fragmentation,6.71
decomposition,algebra,2.4
autobiographies,memoir,8.67
subspecies,group,6.57
embellishment,expansion,6.67
fractures,pervert,1.78
anamorphosis,evolution,7.8
anamorphosis,copy,3.4
interpreter,person,4.86
interpreter,symbolist,2
meadows,grassland,8.57
obtainment,acquiring,9
attendances,frequency,6.43
attendances,appearance,6.38
protraction,continuance,6.5
exclaiming,call,6.75
survivalist,person,4.57
partnership,partner,8.67
partnership,relationship,7.83
microorganism,organism,7.12
impossibilities,unattainableness,8.8
performance,universe,0.89
performance,musical,6.83
feudalism,organization,5
behaviorist,psychologist,8.67
interjection,break,7.14
interjection,exclamation,8
consequences,position,0.56
consequences,result,9.38
preschoolers,child,7.83
unmentionables,garment,6
subeditor,editor,6.71
winners,walloper,1.67
persuasions,electioneering,2.75
persuasions,belief,7.5
conformations,balance,2.33
conformations,curvature,4.75
seriousness,badness,5.8
seriousness,gravity,7.67
metabolism,organic,5.8
reprints,publication,5.67
replication,procedure,4.5
replication,copying,9.38
highjacking,robbery,9.33
repurchases,buy,7.62
inversions,abnormality,4.5
inversions,phenomenon,5
spaciousness,largeness,9.67
crudeness,wild,4.43
crudeness,impoliteness,9
requirement,duty,6.71
requirement,thing,0.57
contortionists,acrobat,7.62
dysentery,diarrhea,8.67
occlusion,thrombosis,6.71
reenactor,actor,7.71
attractor,entertainer,7.17
macroeconomists,economist,7
lectureship,position,4.75
crusaders,warrior,8
crusaders,insurgent,6
formations,flight,3.5
formations,filing,6.6
bestowals,giving,8.33
bestowals,gift,8.5
commissions,order,5.4
hypersensitivity,sensitivity,8.17
inquisitiveness,nosiness,8.33
monograms,symbol,7.67
innovativeness,originality,9.56
impulsion,force,7.29
impulsion,drive,9.25
anarchist,radical,8.6
circumcision,banquet,0.88
socialites,person,4.5
rearrangements,reordering,8.56
entombment,funeral,8.17
discipleship,position,5.29
inbreeding,coupling,6.67
lenience,softness,6.67
lenience,mercifulness,8.78
procurator,agent,6.43
excitations,arousal,7.17
excitations,fever,2.75
untruth,statement,1.22
malfeasance,wrongdoing,8
supporters,trader,0.25
supporters,strength,7.14
translocation,organic,0.62
translocation,procedure,1.38
shouter,crier,9.25
concerti,concerto,9
reformism,doctrine,4.6
inflammation,pitch,0.25
gathering,sponge,0.44
gathering,hive,6.5
admittance,right,0.75
performing,church,0.22
pretenders,ringer,1
rhythmicity,lilt,5.33
significances,meaning,7.67
transvestitism,practice,0.86
royalist,monarchist,7.8
commodes,drawers,2.83
commodes,fixture,5
hypervelocity,speed,8.67
measurements,viscometry,4.4
freighter,cargo,6.17
bestowal,giving,8.57
bestowal,gift,8.25
diagonal,line,3.67
diagonal,heterosexual,0
ingroup,bohemia,0.75
hyperlinks,link,6.71
intelligence,shrewdness,7
intelligence,agency,2
autopilot,unconsciousness,5
enjoining,command,4.2
reelections,election,7.14
tidings,float,0.25
tidings,ebb,0.88
rhymers,writer,4.83
germanic,scandinavian,5
fording,traverse,7.5
fording,deep,5.14
postposition,place,4.5
hypertext,text,6
unicyclist,pedaler,5.17
spatiality,property,5.2
strains,trouble,6.14
strains,rack,1.25
resistor,splitter,2.67
pastorship,position,4.83
intercession,prayer,4.6
