,word1,word2,sim
0,car,automobile,3.6375861597263857
1,gem,jewel,3.6375861597263857
2,journey,voyage,2.9444389791664407
3,boy,lad,2.9444389791664407
4,coast,shore,2.9444389791664407
5,asylum,madhouse,2.9444389791664407
6,magician,wizard,3.6375861597263857
7,midday,noon,3.6375861597263857
8,furnace,stove,1.3350010667323402
9,food,fruit,1.3350010667323402
10,bird,cock,2.9444389791664407
11,bird,crane,2.2512917986064953
12,tool,implement,2.9444389791664407
13,brother,monk,2.9444389791664407
14,lad,brother,2.0281482472922856
15,crane,implement,2.0281482472922856
16,journey,car,0.7472144018302211
17,monk,oracle,1.55814461804655
18,cemetery,woodland,1.4403615823901665
19,food,rooster,0.8649974374866046
20,coast,hill,2.0281482472922856
21,forest,graveyard,1.4403615823901665
22,shore,woodland,2.0281482472922856
23,monk,slave,2.0281482472922856
24,coast,forest,1.845826690498331
25,lad,wizard,2.0281482472922856
26,chord,smile,1.2396908869280152
27,glass,magician,1.55814461804655
28,rooster,voyage,0.4595323293784402
29,noon,string,1.1526795099383855
