,word1,word2,sim
0,water,shortage,1.2396908869280152
1,horse,wedding,1.4403615823901665
2,plays,losses,2.2512917986064953
3,classics,advertiser,1.6916760106710724
4,latin,credit,1.4403615823901665
5,ship,ballots,0.8043728156701697
6,mistake,error,3.6375861597263857
7,disease,plague,2.0281482472922856
8,sake,shade,1.4403615823901665
9,saints,observatory,1.4403615823901665
10,treaty,wheat,0.9985288301111273
11,texas,death,0.9985288301111273
12,republicans,challenge,1.2396908869280152
13,admiralty,intensity,1.1526795099383855
14,heroin,marijuana,2.2512917986064953
15,scottish,commuters,0.8649974374866046
16,apollo,myth,0.8649974374866046
17,film,cautious,1.55814461804655
18,exhibition,art,1.6916760106710724
19,chocolate,candy,1.6916760106710724
20,republic,candidate,1.3350010667323402
21,gospel,church,1.3350010667323402
22,singapore,sanctions,1.2396908869280152
23,english,french,2.538973871058276
24,exile,church,1.4403615823901665
25,navy,coordinator,0.9295359586241757
26,adventure,flood,1.3350010667323402
27,radar,plane,1.6916760106710724
28,pacific,ocean,2.9444389791664407
29,scotch,liquor,2.538973871058276
30,kennedy,gun,1.4403615823901665
31,garfield,cat,1.55814461804655
32,scale,budget,1.845826690498331
33,rhythm,blues,1.55814461804655
34,rich,privileges,1.4403615823901665
35,marble,marching,0.8649974374866046
36,battleship,army,0.8043728156701697
37,medium,organization,2.2512917986064953
38,pennsylvania,writer,1.2396908869280152
39,hamlet,poet,1.1526795099383855
40,battle,prisoners,1.2396908869280152
41,guild,smith,1.1526795099383855
42,mud,soil,2.9444389791664407
43,mussolini,stability,1.1526795099383855
44,lincoln,division,1.1526795099383855
45,slaves,insured,2.538973871058276
46,summer,winter,2.538973871058276
47,integration,dignity,1.4403615823901665
48,money,quota,1.55814461804655
49,honolulu,vacation,0.9295359586241757
50,cheers,musician,1.3350010667323402
51,session,surprises,1.55814461804655
52,billion,campaigning,0.9985288301111273
53,perjury,soybean,0.6418538861723948
54,forswearing,perjury,1.4403615823901665
55,costume,halloween,0.8649974374866046
56,bulgarian,nurses,1.6916760106710724
57,costume,ultimate,1.072636802264849
58,faith,judging,1.55814461804655
59,france,bridges,1.3350010667323402
60,recreation,dish,2.538973871058276
61,intelligence,troubles,1.845826690498331
62,germany,worst,0.8649974374866046
63,chaos,death,2.0281482472922856
64,sydney,hancock,0.8649974374866046
65,sabbath,stevenson,0.9295359586241757
66,espionage,passport,0.9985288301111273
67,pipe,convertible,1.3350010667323402
68,salute,patterns,1.55814461804655
69,radiation,costumes,1.2396908869280152
70,horace,grief,0.9295359586241757
71,sale,rental,2.0281482472922856
72,open,close,1.4403615823901665
73,propaganda,germany,0.9295359586241757
74,mirror,duel,1.1526795099383855
75,probability,hanging,1.4403615823901665
76,africa,theater,1.55814461804655
77,hell,heaven,2.538973871058276
78,mussolini,italy,0.9985288301111273
79,composer,beethoven,2.9444389791664407
80,brussels,sweden,1.4403615823901665
81,neutral,parish,1.3350010667323402
82,emotion,taxation,1.2396908869280152
83,louisiana,simple,1.1526795099383855
84,quarantine,disease,1.3350010667323402
85,bronze,suspicion,1.4403615823901665
