,word1,word2,sim
0,gem,jewel,3.6375861597263857
1,midday,noon,3.6375861597263857
2,automobile,car,3.6375861597263857
3,cemetery,graveyard,3.6375861597263857
4,cushion,pillow,2.9444389791664407
5,boy,lad,2.9444389791664407
6,cock,rooster,3.6375861597263857
7,implement,tool,2.9444389791664407
8,forest,woodland,3.6375861597263857
9,coast,shore,2.9444389791664407
10,autograph,signature,2.9444389791664407
11,journey,voyage,2.9444389791664407
12,serf,slave,2.2512917986064953
13,grin,smile,3.6375861597263857
14,glass,tumbler,2.9444389791664407
15,cord,string,2.9444389791664407
16,hill,mound,3.6375861597263857
17,magician,wizard,3.6375861597263857
18,furnace,stove,1.3350010667323402
19,asylum,madhouse,2.9444389791664407
20,brother,monk,2.9444389791664407
21,food,fruit,1.3350010667323402
22,bird,cock,2.9444389791664407
23,bird,crane,2.2512917986064953
24,oracle,sage,1.845826690498331
25,sage,wizard,1.845826690498331
26,brother,lad,2.0281482472922856
27,crane,implement,2.0281482472922856
28,magician,oracle,1.6916760106710724
29,glass,jewel,1.6916760106710724
30,cemetery,mound,1.2396908869280152
31,car,journey,0.7472144018302211
32,hill,woodland,1.845826690498331
33,crane,rooster,1.55814461804655
34,furnace,implement,1.55814461804655
35,coast,hill,2.0281482472922856
36,bird,woodland,1.4403615823901665
37,shore,voyage,0.9295359586241757
38,cemetery,woodland,1.4403615823901665
39,food,rooster,0.8649974374866046
40,forest,graveyard,1.4403615823901665
41,lad,wizard,2.0281482472922856
42,mound,shore,2.0281482472922856
43,automobile,cushion,1.4403615823901665
44,boy,sage,1.845826690498331
45,monk,oracle,1.55814461804655
46,shore,woodland,2.0281482472922856
47,grin,lad,1.1526795099383855
48,coast,forest,1.845826690498331
49,asylum,cemetery,1.1526795099383855
50,monk,slave,2.0281482472922856
51,cushion,jewel,1.6916760106710724
52,boy,rooster,1.1526795099383855
53,glass,magician,1.55814461804655
54,graveyard,madhouse,0.9295359586241757
55,asylum,monk,1.2396908869280152
56,asylum,fruit,1.6916760106710724
57,grin,implement,1.072636802264849
58,mound,stove,1.6916760106710724
59,automobile,wizard,1.072636802264849
60,autograph,shore,1.3350010667323402
61,fruit,furnace,1.4403615823901665
62,noon,string,1.1526795099383855
63,rooster,voyage,0.4595323293784402
64,cord,smile,1.2396908869280152
