,word1,word2,sim
0,squishing,squirt,0.0
1,undated,undatable,0.0
2,circumvents,beat,0.0
3,circumvents,ebb,0.0
4,dispossess,deprive,0.0
5,provincialism,narrow-mindedness,2.9444389791664407
6,provincialism,partiality,2.9444389791664407
7,instrumentality,department,2.0281482472922856
8,instrumentality,utility,2.9444389791664407
9,involvement,action,2.538973871058276
10,involvement,implication,2.9444389791664407
11,ecclesiastic,clergyman,2.9444389791664407
12,brigadier,general,2.538973871058276
13,carbonic,chemical,0.0
14,carbonic,paper,0.0
15,aspirate,pronounce,0.0
16,aspirate,remove,1.2396908869280152
17,monotype,machine,2.2512917986064953
18,incommensurate,incommensurable,0.0
19,campfires,fire,2.9444389791664407
20,cognizance,knowing,2.9444389791664407
21,urbanize,change,0.0
22,imperfection,state,2.9444389791664407
23,assessment,charge,2.9444389791664407
24,assessment,assay,2.9444389791664407
25,incubate,breed,0.0
26,incubate,develop,0.0
27,principality,domain,2.9444389791664407
28,vicarious,abnormal,0.0
29,vicarious,secondary,0.0
30,ungraceful,awkward,0.0
31,unsighted,color-blind,0.0
32,socialise,educate,0.0
33,socialise,swing,0.0
34,diagonals,line,2.9444389791664407
35,diagonals,heterosexual,1.55814461804655
36,naturalise,adapt,0.0
37,insubordinate,rebellious,0.0
38,insubordinate,defiant,0.0
39,subdividing,subdivide,0.0
40,subdividing,separate,0.0
41,antifeminism,sexism,2.9444389791664407
42,circumcising,cut,0.0
43,circumcising,remove,0.0
44,excommunicate,oust,0.0
45,accomplished,over,0.0
46,attackers,wrongdoer,2.9444389791664407
47,contravened,disagree,0.0
48,contravened,transgress,0.0
49,tenderize,change,0.0
50,blithering,chatter,0.0
51,resurfacing,coat,0.0
52,resurfacing,surface,0.0
53,friendships,brotherhood,1.6916760106710724
54,soulfully,emotional,0.0
55,elector,voter,3.6375861597263857
56,intentionality,intended,0.0
57,vulgarism,profanity,2.9444389791664407
58,vulgarism,inelegance,2.9444389791664407
59,preliterate,illiterate,0.0
60,preliterate,noncivilized,0.0
61,retrying,hear,0.0
62,wanderers,program,2.9444389791664407
63,wanderers,nomad,2.9444389791664407
64,marginalize,interact,0.0
65,hyperlink,link,2.9444389791664407
66,inducted,admit,0.0
67,inducted,install,0.0
68,entrapping,capture,0.0
69,entrapping,deceive,0.0
70,alleviated,comfort,0.0
71,alleviated,help,0.0
72,radiators,beginning,1.6916760106710724
73,radiators,system,2.0281482472922856
74,postmodernism,genre,2.9444389791664407
75,excavations,site,2.9444389791664407
76,excavations,removal,1.3350010667323402
77,comfortable,cozy,0.0
78,unfeathered,unfledged,0.0
79,unfeathered,plucked,0.0
80,assigned,regiment,0.0
81,assigned,allow,0.0
82,listeners,eavesdropper,2.9444389791664407
83,unheralded,unexpected,0.0
84,inabilities,insufficiency,2.9444389791664407
85,inabilities,incomprehension,2.9444389791664407
86,monocultures,culture,2.9444389791664407
87,tricolour,flag,2.9444389791664407
88,omnipotence,state,2.9444389791664407
89,mingles,change,0.0
90,calcify,harden,0.0
91,calcify,change,0.0
92,disinheritance,discontinuance,2.9444389791664407
93,interwove,braid,0.0
94,cession,relinquishment,2.9444389791664407
95,dwarfish,small,0.0
96,assessments,charge,2.9444389791664407
97,assessments,classification,2.9444389791664407
98,prescriptions,medicine,2.9444389791664407
99,prescriptions,direction,2.9444389791664407
100,antipsychotic,lithium,1.2396908869280152
101,circumferential,peripheral,0.0
102,roosters,cockerel,2.9444389791664407
103,nonpublic,private,0.0
104,yodeling,sing,0.0
105,yodeling,singing,2.9444389791664407
106,autoerotic,sexy,0.0
107,unisons,concurrence,2.9444389791664407
108,unisons,agreement,2.9444389791664407
109,disassembled,destroy,0.0
110,preteens,juvenile,2.9444389791664407
111,unaccessible,pathless,0.0
112,monogram,symbol,2.9444389791664407
113,opalescence,brightness,2.9444389791664407
114,estrogenic,hormone,0.0
115,misleading,beat,0.0
116,consubstantial,considerable,0.0
117,coeducation,education,2.9444389791664407
118,canonical,standard,0.0
119,galvanic,exciting,0.0
120,nominated,nominate,0.0
121,nominated,choose,0.0
122,exceedance,probability,2.9444389791664407
123,confide,consign,0.0
124,confide,unwrap,0.0
125,established,initiate,0.0
126,condescend,act,0.0
127,tricycle,pedicab,2.9444389791664407
128,discharged,spread,0.0
129,postmodernist,artist,0.0
130,ruralist,rustic,2.9444389791664407
131,ruralist,advocate,2.9444389791664407
132,conjurors,enchantress,2.0281482472922856
133,detestable,offensive,0.0
