,word1,word2,sim
0,water,shortage,0.05950678822050614
1,horse,wedding,0.1911568372100645
2,plays,losses,0.5460976273739531
3,classics,advertiser,0.3007448127788596
4,latin,credit,0.16831196236595697
5,ship,ballots,0.0
6,mistake,error,0.9985079423323266
7,disease,plague,0.4493106323157087
8,sake,shade,0.19860052860724214
9,saints,observatory,0.1911568372100645
10,treaty,wheat,0.039888593019402716
11,texas,death,0.039888593019402716
12,republicans,challenge,0.0
13,admiralty,intensity,0.05950678822050614
14,heroin,marijuana,0.547992777484284
15,scottish,commuters,0.0
16,apollo,myth,0.026738123509062912
17,film,cautious,0.10842843756744072
18,exhibition,art,0.24537748121481076
19,chocolate,candy,0.29627717354089544
20,republic,candidate,0.0
21,gospel,church,0.08877369634465969
22,singapore,sanctions,0.0
23,english,french,0.6593769758933286
24,exile,church,0.19860052860724214
25,navy,coordinator,0.0
26,adventure,flood,0.16260036034829264
27,radar,plane,0.3007448127788596
28,pacific,ocean,0.8053648570234232
29,scotch,liquor,0.6702926982013903
30,kennedy,gun,0.19860052860724214
31,garfield,cat,0.24648608567564104
32,scale,budget,0.3618737569427491
33,rhythm,blues,0.16831196236595697
34,rich,privileges,0.10842843756744072
35,marble,marching,0.026738123509062912
36,battleship,army,0.0
37,medium,organization,0.5460976273739531
38,pennsylvania,writer,0.12813625991867766
39,hamlet,poet,0.09237156344025704
40,battle,prisoners,0.0
41,guild,smith,0.0
42,mud,soil,0.8183626242707864
43,mussolini,stability,0.0
44,lincoln,division,0.0
45,slaves,insured,0.6693198898711566
46,summer,winter,0.667005148299271
47,integration,dignity,0.10842843756744072
48,money,quota,0.23347948820954736
49,honolulu,vacation,0.0
50,cheers,musician,0.0
51,session,surprises,0.23347948820954736
52,billion,campaigning,0.039888593019402716
53,perjury,soybean,0.0
54,forswearing,perjury,0.19860052860724214
55,costume,halloween,0.0
56,bulgarian,nurses,0.3007448127788596
57,costume,ultimate,0.0
58,faith,judging,0.23347948820954736
59,france,bridges,0.15650598128500132
60,recreation,dish,0.667005148299271
61,intelligence,troubles,0.3660601867212616
62,germany,worst,0.0
63,chaos,death,0.4419936048356566
64,sydney,hancock,0.04150521891449892
65,sabbath,stevenson,0.0
66,espionage,passport,0.039888593019402716
67,pipe,convertible,0.1644814445040212
68,salute,patterns,0.20557669506513052
69,radiation,costumes,0.07268175526177932
70,horace,grief,0.0
71,sale,rental,0.44865853939100275
72,open,close,0.10842843756744072
73,propaganda,germany,0.0
74,mirror,duel,0.09237156344025704
75,probability,hanging,0.10842843756744072
76,africa,theater,0.20557669506513052
77,hell,heaven,0.6700186476600946
78,mussolini,italy,0.06191851065765708
79,composer,beethoven,0.8187206922285836
80,brussels,sweden,0.20159527674690492
81,neutral,parish,0.1378021796999129
82,emotion,taxation,0.07268175526177932
83,louisiana,simple,0.09237156344025704
84,quarantine,disease,0.15650598128500132
85,bronze,suspicion,0.16831196236595697
86,pearl,interim,0.10842843756744072
87,artist,paint,0.15650598128500132
88,relay,family,0.4471069217139757
89,art,mortality,0.13243479270786987
