,word1,word2,sim
0,gem,jewel,0.9998645517007605
1,midday,noon,0.9999592018254402
2,automobile,car,0.9999962988044542
3,cemetery,graveyard,0.9998645517007605
4,cushion,pillow,0.8175091595800918
5,boy,lad,0.8186198573899424
6,cock,rooster,0.9999996642345506
7,implement,tool,0.8175091595800918
8,forest,woodland,0.9950547536867306
9,coast,shore,0.8053648570234232
10,autograph,signature,0.8175091595800918
11,journey,voyage,0.8186973503578002
12,serf,slave,0.5485648719750401
13,grin,smile,0.9985079423323266
14,glass,tumbler,0.8183626242707864
15,cord,string,0.8175091595800918
16,hill,mound,0.9999592018254402
17,magician,wizard,0.9998645517007605
18,furnace,stove,0.16260036034829264
19,asylum,madhouse,0.8186973503578002
20,brother,monk,0.8186973503578002
21,food,fruit,0.1378021796999129
22,bird,cock,0.8186973503578002
23,bird,crane,0.5487892455810965
24,oracle,sage,0.36771403023584354
25,sage,wizard,0.3673305438304631
26,brother,lad,0.44865853939100275
27,crane,implement,0.4471069217139757
28,magician,oracle,0.3007448127788596
29,glass,jewel,0.2510919423660026
30,cemetery,mound,0.11282288236149708
31,car,journey,0.0
32,hill,woodland,0.30668439095763
33,crane,rooster,0.24658690323562563
34,furnace,implement,0.24257123341295325
35,coast,hill,0.4254273649721705
36,bird,woodland,0.1378021796999129
37,shore,voyage,0.0
38,cemetery,woodland,0.16831196236595697
39,food,rooster,0.026738123509062912
40,forest,graveyard,0.16831196236595697
41,lad,wizard,0.44865853939100275
42,mound,shore,0.4254273649721705
43,automobile,cushion,0.20089808998338038
44,boy,sage,0.3673305438304631
45,monk,oracle,0.24622902705073238
46,shore,woodland,0.37458516100032113
47,grin,lad,0.0
48,coast,forest,0.30668439095763
49,asylum,cemetery,0.09237156344025704
50,monk,slave,0.44865853939100275
51,cushion,jewel,0.29627717354089544
52,boy,rooster,0.11025520945194393
53,glass,magician,0.20557669506513052
54,graveyard,madhouse,0.05069458886021062
55,asylum,monk,0.12813625991867766
56,asylum,fruit,0.29627717354089544
57,grin,implement,0.0
58,mound,stove,0.29627717354089544
59,automobile,wizard,0.08589230364752262
60,autograph,shore,0.0
61,fruit,furnace,0.19860052860724214
62,noon,string,0.05950678822050614
63,rooster,voyage,0.0
64,cord,smile,0.07268175526177932
