,word1,word2,sim
0,tiger,cat,0.8187304781764826
1,tiger,tiger,0.999999898869378
2,plane,car,0.3010587848923319
3,train,car,0.3673305438304631
4,television,radio,0.6702926982013903
5,media,radio,0.547992777484284
6,bread,butter,0.5460976273739531
7,cucumber,potato,0.547992777484284
8,doctor,nurse,0.5487892455810965
9,professor,doctor,0.3011534156684577
10,student,professor,0.24622902705073238
11,smart,stupid,0.0
12,wood,forest,0.9950547536867306
13,money,cash,0.6693198898711566
14,king,queen,0.9999592018254402
15,king,rook,0.6702926982013903
16,bishop,rabbi,0.44926810327323285
17,fuck,sex,0.667005148299271
18,football,soccer,0.8187277227953653
19,football,basketball,0.6702292523254576
20,football,tennis,0.36782961252681046
21,Arafat,Jackson,0.5487373004913146
22,physics,chemistry,0.20557669506513052
23,vodka,gin,0.6702926982013903
24,vodka,brandy,0.6702926982013903
25,car,automobile,0.9999962988044542
26,gem,jewel,0.9998645517007605
27,journey,voyage,0.8186973503578002
28,boy,lad,0.8186198573899424
29,coast,shore,0.8053648570234232
30,asylum,madhouse,0.8186973503578002
31,magician,wizard,0.9998645517007605
32,midday,noon,0.9999592018254402
33,furnace,stove,0.16260036034829264
34,food,fruit,0.1378021796999129
35,bird,cock,0.8186973503578002
36,bird,crane,0.5487892455810965
37,food,rooster,0.026738123509062912
38,money,dollar,0.44865853939100275
39,money,currency,0.8175091595800918
40,tiger,jaguar,0.6703198209653278
41,tiger,feline,0.6703192987761798
42,tiger,carnivore,0.5488096048348434
43,tiger,mammal,0.36786443236178445
44,tiger,animal,0.5460976273739531
45,tiger,organism,0.667005148299271
46,tiger,fauna,0.5460976273739531
47,psychology,psychiatry,0.3010587848923319
48,psychology,science,0.8183626242707864
49,psychology,discipline,0.6693198898711566
50,planet,star,0.667005148299271
51,planet,moon,0.5460976273739531
52,planet,sun,0.5460976273739531
53,precedent,example,0.8146819278397627
54,precedent,antecedent,0.3483104669036466
55,cup,tableware,0.6700186476600946
56,cup,artifact,0.5398522080354271
57,cup,object,0.30668439095763
58,cup,entity,0.0
59,jaguar,cat,0.8187304781764826
60,jaguar,car,0.0385938998235832
61,mile,kilometer,0.5460976273739531
62,skin,eye,0.3618737569427491
63,Japanese,American,0.5485648719750401
64,century,year,0.6593769758933286
65,announcement,news,0.4254273649721705
66,doctor,personnel,0.05950678822050614
67,Harvard,Yale,0.6703118089088349
68,hospital,infrastructure,0.05950678822050614
69,life,death,0.667005148299271
70,travel,activity,0.3618737569427491
71,type,kind,0.8186198573899424
72,street,place,0.3483104669036466
73,street,avenue,0.8186198573899424
74,street,block,0.3618737569427491
75,cell,phone,0.6702292523254576
76,dividend,payment,0.6700186476600946
77,calculation,computation,0.9998645517007605
78,profit,loss,0.3660601867212616
79,dollar,yen,0.5460976273739531
80,dollar,buck,0.9999592018254402
81,phone,equipment,0.6693198898711566
82,liquid,water,0.8175091595800918
83,marathon,sprint,0.1331259154787089
84,seafood,food,0.8053648570234232
85,seafood,lobster,0.667005148299271
86,lobster,food,0.5398522080354271
87,lobster,wine,0.11282288236149708
88,championship,tournament,0.667005148299271
89,man,woman,0.6700186476600946
90,man,governor,0.44865853939100275
91,murder,manslaughter,0.6703118089088349
92,opera,performance,0.08877369634465969
93,Mexico,Brazil,0.4491269307442513
94,glass,metal,0.30668439095763
95,aluminum,metal,0.8175091595800918
96,rock,jazz,0.6693198898711566
97,museum,theater,0.29627717354089544
98,shower,thunderstorm,0.3007448127788596
99,monk,oracle,0.24622902705073238
100,cup,food,0.3618737569427491
101,journal,association,0.1617562210897626
102,street,children,0.15650598128500132
103,car,flight,0.24257123341295325
104,space,chemistry,0.19756949458860232
105,situation,conclusion,0.29627717354089544
106,word,similarity,0.10842843756744072
107,peace,plan,0.08877369634465969
108,consumer,energy,0.08877369634465969
109,ministry,culture,0.23347948820954736
110,smart,student,0.0
111,investigation,effort,0.547992777484284
112,image,surface,0.4419936048356566
113,life,term,0.667005148299271
114,start,match,0.285172490872966
115,computer,news,0.0
116,board,recommendation,0.05950678822050614
117,lad,brother,0.44865853939100275
118,observation,architecture,0.3660601867212616
119,coast,hill,0.4254273649721705
120,deployment,departure,0.4419936048356566
121,benchmark,index,0.5398522080354271
122,attempt,peace,0.08877369634465969
123,consumer,confidence,0.0
124,start,year,0.30668439095763
125,focus,life,0.2510919423660026
126,development,issue,0.4575193488116635
