,word1,word2,sim
0,car,automobile,1.0
1,gem,jewel,1.0
2,journey,voyage,0.7777146187009302
3,boy,lad,0.8305623983610396
4,coast,shore,0.9632173804623256
5,asylum,madhouse,0.8555839091868429
6,magician,wizard,1.0
7,midday,noon,1.0
8,furnace,stove,0.22813808925013807
9,food,fruit,0.16098394945475356
10,bird,cock,0.7739372037654989
11,bird,crane,0.7478120181755705
12,tool,implement,0.9471542795803441
13,brother,monk,0.9864074497952746
14,lad,brother,0.2551747333560268
15,crane,implement,0.3590566838112666
16,journey,car,0.0
17,monk,oracle,0.2256522165279408
18,cemetery,woodland,0.12344084378220546
19,food,rooster,0.09193186093161773
20,coast,hill,0.5991131628821826
21,forest,graveyard,0.12344084378220546
22,shore,woodland,0.1355829969630242
23,monk,slave,0.2543108201944307
24,coast,forest,0.1306458563572937
25,lad,wizard,0.2550914661759818
26,chord,smile,0.24625562478527205
27,glass,magician,0.21416825402673018
28,rooster,voyage,0.0
29,noon,string,0.06617171295532323
