,word1,word2,sim
0,water,shortage,0.061985719864788104
1,horse,wedding,0.3285128411257971
2,plays,losses,0.6967317317927085
3,classics,advertiser,0.21265778119734102
4,latin,credit,0.292478837371768
5,ship,ballots,0.0
6,mistake,error,1.0
7,disease,plague,0.7878669644728759
8,sake,shade,0.3112211414218585
9,saints,observatory,0.13644990695297635
10,treaty,wheat,0.059362956352871886
11,texas,death,0.08429223014810422
12,republicans,challenge,0.0
13,admiralty,intensity,1.1924584157955451e-300
14,heroin,marijuana,0.7589561323208559
15,scottish,commuters,0.0
16,apollo,myth,0.050612478005380844
17,film,cautious,0.06092001427527962
18,exhibition,art,0.3593895288779811
19,chocolate,candy,0.48191892851497764
20,republic,candidate,0.0
21,gospel,church,0.1698449578014672
22,singapore,sanctions,0.0
23,english,french,0.8163544277400527
24,exile,church,0.24474407571541054
25,navy,coordinator,0.0
26,adventure,flood,0.21009848945889115
27,radar,plane,0.3960535424002573
28,pacific,ocean,0.8926244444668106
29,scotch,liquor,0.8286118610116703
30,kennedy,gun,0.2663399887821518
31,garfield,cat,9.693597847996484e-300
32,scale,budget,0.6162010870996579
33,rhythm,blues,0.24113943201239804
34,rich,privileges,0.05680043576688271
35,marble,marching,0.05725845490843539
36,battleship,army,0.0
37,medium,organization,0.34476435932398825
38,pennsylvania,writer,0.19067876204378445
39,hamlet,poet,0.15097872014302904
40,battle,prisoners,0.0
41,guild,smith,0.0
42,mud,soil,0.9304621034300863
43,mussolini,stability,0.0
44,lincoln,division,0.0
45,slaves,insured,0.2144392464254864
46,summer,winter,0.8155814267286345
47,integration,dignity,0.057210765396102585
48,money,quota,0.42071737340667226
49,honolulu,vacation,0.0
50,cheers,musician,0.0
51,session,surprises,0.2298017416963698
52,billion,campaigning,0.05818843095520025
53,perjury,soybean,0.0
54,forswearing,perjury,0.19142709038101366
55,costume,halloween,0.0
56,bulgarian,nurses,4.6670904874713855e-300
57,costume,ultimate,0.0
58,faith,judging,0.29005335859771314
59,france,bridges,0.1567003837505656
60,recreation,dish,0.4005932951519562
61,intelligence,troubles,0.33834832512170043
62,germany,worst,0.0
63,chaos,death,0.48236463568603316
64,sydney,hancock,0.09443210031916514
65,sabbath,stevenson,0.0
66,espionage,passport,0.05152958240619461
67,pipe,convertible,0.29035918127918253
68,salute,patterns,0.23329988702016838
69,radiation,costumes,0.08817325074402534
70,horace,grief,0.0
71,sale,rental,0.5799031256923132
72,open,close,0.22467869733753718
73,propaganda,germany,0.0
74,mirror,duel,0.13437877380931224
75,probability,hanging,0.06159356752962114
76,africa,theater,0.13669090506050743
77,hell,heaven,0.8630451517840655
78,mussolini,italy,0.10639795715849977
79,composer,beethoven,0.8114162170765554
80,brussels,sweden,0.3514151863717229
81,neutral,parish,0.11337190567531572
82,emotion,taxation,0.08326683336737235
83,louisiana,simple,0.14194339391463814
84,quarantine,disease,6.279816098494269e-300
85,bronze,suspicion,0.20834469258759974
86,pearl,interim,0.05815133745119418
87,artist,paint,0.2063686638966867
88,relay,family,0.5493772686366291
89,art,mortality,0.061656441697795175
90,food,investment,0.1613236947130795
