,word1,word2,sim
0,squishing,squirt,0.0
1,undated,undatable,0.0
2,circumvents,beat,0.0
3,circumvents,ebb,0.0
4,dispossess,deprive,0.0
5,provincialism,narrow-mindedness,0.9733822911182448
6,provincialism,partiality,0.9023437897205375
7,instrumentality,department,0.47990941019108563
8,instrumentality,utility,0.6596658854302284
9,involvement,action,0.5502465638359656
10,involvement,implication,0.9722164668668155
11,ecclesiastic,clergyman,0.8064853243841248
12,brigadier,general,0.732086341053054
13,carbonic,chemical,0.0
14,carbonic,paper,0.0
15,aspirate,pronounce,0.0
16,aspirate,remove,6.07315586462973e-300
17,monotype,machine,1.3853145714476787e-299
18,incommensurate,incommensurable,0.0
19,campfires,fire,0.7956972202418259
20,cognizance,knowing,0.8879118263416433
21,urbanize,change,0.0
22,imperfection,state,0.5273427550958856
23,assessment,charge,0.8316737774924257
24,assessment,assay,0.900434497761922
25,incubate,breed,0.0
26,incubate,develop,0.0
27,principality,domain,0.8260444108102075
28,vicarious,abnormal,0.0
29,vicarious,secondary,0.0
30,ungraceful,awkward,0.0
31,unsighted,color-blind,0.0
32,socialise,educate,0.0
33,socialise,swing,0.0
34,diagonals,line,0.7728908152503838
35,diagonals,heterosexual,0.0
36,naturalise,adapt,0.0
37,insubordinate,rebellious,0.0
38,insubordinate,defiant,0.0
39,subdividing,subdivide,0.0
40,subdividing,separate,0.0
41,antifeminism,sexism,1.0
42,circumcising,cut,0.0
43,circumcising,remove,0.0
44,excommunicate,oust,0.0
45,accomplished,over,0.0
46,attackers,wrongdoer,0.8803909841534338
47,contravened,disagree,0.0
48,contravened,transgress,0.0
49,tenderize,change,0.0
50,blithering,chatter,0.0
51,resurfacing,coat,0.0
52,resurfacing,surface,0.0
53,friendships,brotherhood,0.3078682345435528
54,soulfully,emotional,0.0
55,elector,voter,1.0
56,intentionality,intended,0.0
57,vulgarism,profanity,0.927768944519871
58,vulgarism,inelegance,0.9087807674152177
59,preliterate,illiterate,0.0
60,preliterate,noncivilized,0.0
61,retrying,hear,0.0
62,wanderers,program,0.7145941648728422
63,wanderers,nomad,0.9196326691233031
64,marginalize,interact,0.0
65,hyperlink,link,2.2660211394266476e-299
66,inducted,admit,0.0
67,inducted,install,0.0
68,entrapping,capture,0.0
69,entrapping,deceive,0.0
70,alleviated,comfort,0.0
71,alleviated,help,0.0
72,radiators,beginning,0.13021596700122215
73,radiators,system,0.4694360686446436
74,postmodernism,genre,2.1709364000836325e-299
75,excavations,site,0.8142281444534694
76,excavations,removal,0.22264276700510008
77,comfortable,cozy,0.0
78,unfeathered,unfledged,0.0
79,unfeathered,plucked,0.0
80,assigned,regiment,0.0
81,assigned,allow,0.0
82,listeners,eavesdropper,2.150405569271616e-299
83,unheralded,unexpected,0.0
84,inabilities,insufficiency,0.21653193154048841
85,inabilities,incomprehension,0.7643498533985046
86,monocultures,culture,2.0492184415772561e-299
87,tricolour,flag,1.700404113888788e-299
88,omnipotence,state,0.35669610396577683
89,mingles,change,0.0
90,calcify,harden,0.0
91,calcify,change,0.0
92,disinheritance,discontinuance,2.8931199826124776e-299
93,interwove,braid,0.0
94,cession,relinquishment,0.8836978693930255
95,dwarfish,small,0.0
96,assessments,charge,0.8316737774924257
97,assessments,classification,0.9960459975416303
98,prescriptions,medicine,0.7727629382168096
99,prescriptions,direction,0.7270746527879618
100,antipsychotic,lithium,0.23632691309731907
101,circumferential,peripheral,0.0
102,roosters,cockerel,2.4326029640136683e-299
103,nonpublic,private,0.0
104,yodeling,sing,0.0
105,yodeling,singing,0.8441727114199525
106,autoerotic,sexy,0.0
107,unisons,concurrence,0.8538613170362803
108,unisons,agreement,0.7375927051936241
109,disassembled,destroy,0.0
110,preteens,juvenile,1.4774516667009434e-299
111,unaccessible,pathless,0.0
112,monogram,symbol,9.48247805284739e-300
113,opalescence,brightness,1.865960295202425e-299
114,estrogenic,hormone,0.0
115,misleading,beat,0.0
116,consubstantial,considerable,0.0
117,coeducation,education,1.5247968873169592e-299
118,canonical,standard,0.0
119,galvanic,exciting,0.0
120,nominated,nominate,0.0
121,nominated,choose,0.0
122,exceedance,probability,1.735740506339136e-299
123,confide,consign,0.0
124,confide,unwrap,0.0
125,established,initiate,0.0
126,condescend,act,0.0
127,tricycle,pedicab,1.0
128,discharged,spread,0.0
129,postmodernist,artist,0.0
130,ruralist,rustic,0.9106704785552395
131,ruralist,advocate,0.24226443141022136
132,conjurors,enchantress,0.19246473193051808
