,word1,word2,sim
0,tiger,cat,0.8944543940157688
1,tiger,tiger,1.0
2,plane,car,0.7194339072268571
3,train,car,0.6786666052669672
4,television,radio,0.9196692563012273
5,media,radio,0.8322760066971366
6,bread,butter,0.711420490146294
7,cucumber,potato,0.6590035701554047
8,doctor,nurse,0.8351534747090343
9,professor,doctor,0.7036526610448273
10,student,professor,0.2762736071141931
11,smart,stupid,0.0
12,wood,forest,1.0
13,money,cash,0.7888839126424345
14,king,queen,1.0
15,king,rook,0.7721813992767788
16,bishop,rabbi,0.6655650900427844
17,fuck,sex,0.7702540153365864
18,football,soccer,0.9057530055264609
19,football,basketball,0.7536025025710653
20,football,tennis,0.7699955045932811
21,Arafat,Jackson,1.347436826644269e-299
22,physics,chemistry,0.28779348035107777
23,vodka,gin,1.7712256235754857e-299
24,vodka,brandy,1.7712256235754857e-299
25,car,automobile,1.0
26,gem,jewel,1.0
27,journey,voyage,0.7777146187009302
28,boy,lad,0.8305623983610396
29,coast,shore,0.9632173804623256
30,asylum,madhouse,0.8555839091868429
31,magician,wizard,1.0
32,midday,noon,1.0
33,furnace,stove,0.22813808925013807
34,food,fruit,0.16098394945475356
35,bird,cock,0.7739372037654989
36,bird,crane,0.7478120181755705
37,food,rooster,0.09193186093161773
38,money,dollar,0.7220213272946928
39,money,currency,0.8635023353393572
40,tiger,jaguar,0.7973702449225933
41,tiger,feline,0.8319672583295485
42,tiger,carnivore,0.7882233724493537
43,tiger,mammal,0.6153897802662607
44,tiger,animal,0.5781757001312874
45,tiger,organism,0.30918536434370175
46,tiger,fauna,0.5781757001312874
47,psychology,psychiatry,0.6552293883817466
48,psychology,science,0.8474590505736942
49,psychology,discipline,0.7275617910923693
50,planet,star,0.8742320798564324
51,planet,moon,0.7808882364067532
52,planet,sun,0.8104382016691204
53,precedent,example,0.8170984525340075
54,precedent,antecedent,0.3045647079345919
55,cup,tableware,0.8402414484216962
56,cup,artifact,0.36472499561999216
57,cup,object,0.2610784536623977
58,cup,entity,0.0
59,jaguar,cat,0.8801867307807264
60,jaguar,car,0.1523372082982704
61,mile,kilometer,0.5788349234578791
62,skin,eye,0.4902355662409748
63,Japanese,American,0.695328935150614
64,century,year,0.48413841580276823
65,announcement,news,0.48956371924426967
66,doctor,personnel,0.07628780736150996
67,Harvard,Yale,0.8601757473172323
68,hospital,infrastructure,0.061411762299820684
69,life,death,0.8884181876753028
70,travel,activity,0.500273063343686
71,type,kind,0.8961068543873082
72,street,place,0.3659476869572593
73,street,avenue,0.9129674397233387
74,street,block,0.30602091203318943
75,cell,phone,0.9593573082004692
76,dividend,payment,0.7258439252040906
77,calculation,computation,1.0
78,profit,loss,0.7695806950409393
79,dollar,yen,0.6098409189043508
80,dollar,buck,1.0
81,phone,equipment,0.7530899129088198
82,liquid,water,0.9944056278211347
83,marathon,sprint,0.18971003732538474
84,seafood,food,0.7898772849676011
85,seafood,lobster,0.809234919214532
86,lobster,food,0.6145621255093899
87,lobster,wine,0.2965339881184699
88,championship,tournament,0.6331186743451404
89,man,woman,0.7870841372982784
90,man,governor,0.40191713076293156
91,murder,manslaughter,0.7849265638339985
92,opera,performance,0.0836105540827027
93,Mexico,Brazil,0.4948778519900567
94,glass,metal,0.45385673433476975
95,aluminum,metal,0.6667606962267715
96,rock,jazz,0.864275405680379
97,museum,theater,0.2481088648591426
98,shower,thunderstorm,1.3121791998377283e-299
99,monk,oracle,0.2256522165279408
100,cup,food,0.6724557775324919
101,journal,association,0.08139452281676637
102,street,children,0.19755912867331235
103,car,flight,0.25649805199681286
104,space,chemistry,0.08939280845214755
105,situation,conclusion,0.34603836193516563
106,word,similarity,0.33481332660704377
107,peace,plan,0.07604322709442059
108,consumer,energy,0.11384375870978919
109,ministry,culture,0.31351381688666624
110,smart,student,0.0
111,investigation,effort,0.6930215198694225
112,image,surface,0.37839149602066613
113,life,term,0.9048876556812429
114,start,match,0.3070061371614108
115,computer,news,0.0
116,board,recommendation,0.06771869356392991
117,lad,brother,0.2551747333560268
118,observation,architecture,0.2946915942131652
119,coast,hill,0.5991131628821826
120,deployment,departure,0.2115527137097384
121,benchmark,index,0.5138156505109648
122,attempt,peace,0.0767538352473955
123,consumer,confidence,0.0
124,start,year,0.38456173796669557
125,focus,life,0.37120026278024126
126,development,issue,0.5667228248247862
127,theater,history,0.18226729288770258
128,situation,isolation,0.40322144932271536
129,profit,warning,0.07383170807516608
130,media,trading,0.230905111645539
131,chance,credibility,0.26809345087206077
132,precedent,information,0.6058226264347694
133,architecture,century,0.0631806544264851
134,population,development,0.6417861979456791
135,peace,atmosphere,0.5012732772572553
136,morality,marriage,0.3064957555089976
137,minority,peace,0.30254701048742405
138,atmosphere,landscape,0.2985464877497494
139,report,gain,0.08408874139813224
140,music,project,0.4315739351340919
141,seven,series,0.31585469988927617
142,experience,music,0.32931917284460155
143,school,center,0.6691128467940572
144,five,month,0.37369763820576113
145,announcement,production,0.30124458622529965
146,morality,importance,0.5829878541913331
147,money,operation,0.09595553231632611
148,delay,news,0.21265379831453216
149,governor,interview,0.0
150,practice,institution,0.8711229211669116
151,century,nation,0.08284210926422621
152,coast,forest,0.1306458563572937
153,shore,woodland,0.1355829969630242
154,drink,car,0.11225779340702811
155,president,medal,0.06300526500707936
156,prejudice,recognition,0.5554564616784389
157,viewer,serial,0.2120950359648611
158,peace,insurance,0.841657357116302
159,Mars,water,0.15467799536053092
160,media,gain,0.3692939596720341
161,precedent,cognition,0.36889484830512276
162,announcement,effort,0.08515879294280457
163,line,insurance,0.5591060341533179
164,crane,implement,0.3590566838112666
165,drink,mother,0.5948744655835082
166,opera,industry,0.06515488200277493
167,volunteer,motto,0.0
168,listing,proximity,0.1353372254942668
169,precedent,collection,0.6077251497766955
170,cup,article,0.8298794191050125
171,sign,recess,0.43848619008301065
172,problem,airport,0.0
173,reason,hypertension,0.3851218089925886
174,direction,combination,0.33395670203300193
175,Wednesday,news,0.06660102694380376
176,glass,magician,0.21416825402673018
177,cemetery,woodland,0.12344084378220546
178,possibility,girl,0.0
179,cup,substance,0.6138149856859102
180,forest,graveyard,0.12344084378220546
181,stock,egg,0.545351289658579
182,month,hotel,0.0
183,energy,secretary,0.10218740841430991
184,precedent,group,0.3957297896151552
185,production,hike,0.23226181522486328
186,stock,phone,0.41401022612833654
187,holy,sex,0.09139456685195431
188,stock,CD,0.3719878256861127
189,drink,ear,0.39542919409243665
190,delay,racism,0.21110030290570073
191,stock,life,0.36760641049028825
192,stock,jaguar,0.493908593120603
193,monk,slave,0.2543108201944307
194,lad,wizard,0.2550914661759818
195,sugar,approach,0.08723966801954834
196,rooster,voyage,0.0
197,noon,string,0.06617171295532323
198,chord,smile,0.24625562478527205
199,professor,cucumber,0.06521708659089354
200,king,cabbage,0.30509393815158475
