,word1,word2,sim
0,car,automobile,1.0
1,gem,jewel,1.0
2,journey,voyage,0.5
3,boy,lad,0.5
4,coast,shore,0.5
5,asylum,madhouse,0.5
6,magician,wizard,1.0
7,midday,noon,1.0
8,furnace,stove,0.1
9,food,fruit,0.1
10,bird,cock,0.5
11,bird,crane,0.25
12,tool,implement,0.5
13,brother,monk,0.5
14,lad,brother,0.2
15,crane,implement,0.2
16,journey,car,0.05555555555555555
17,monk,oracle,0.125
18,cemetery,woodland,0.1111111111111111
19,food,rooster,0.0625
20,coast,hill,0.2
21,forest,graveyard,0.1111111111111111
22,shore,woodland,0.2
23,monk,slave,0.2
24,coast,forest,0.16666666666666666
25,lad,wizard,0.2
26,chord,smile,0.09090909090909091
27,glass,magician,0.125
28,rooster,voyage,0.041666666666666664
29,noon,string,0.08333333333333333
