,word1,word2,sim
0,water,shortage,0.09090909090909091
1,horse,wedding,0.1111111111111111
2,plays,losses,0.25
3,classics,advertiser,0.14285714285714285
4,latin,credit,0.1111111111111111
5,ship,ballots,0.058823529411764705
6,mistake,error,1.0
7,disease,plague,0.2
8,sake,shade,0.1111111111111111
9,saints,observatory,0.1111111111111111
10,treaty,wheat,0.07142857142857142
11,texas,death,0.07142857142857142
12,republicans,challenge,0.09090909090909091
13,admiralty,intensity,0.08333333333333333
14,heroin,marijuana,0.25
15,scottish,commuters,0.0625
16,apollo,myth,0.0625
17,film,cautious,0.125
18,exhibition,art,0.14285714285714285
19,chocolate,candy,0.14285714285714285
20,republic,candidate,0.1
21,gospel,church,0.1
22,singapore,sanctions,0.09090909090909091
23,english,french,0.3333333333333333
24,exile,church,0.1111111111111111
25,navy,coordinator,0.06666666666666667
26,adventure,flood,0.1
27,radar,plane,0.14285714285714285
28,pacific,ocean,0.5
29,scotch,liquor,0.3333333333333333
30,kennedy,gun,0.1111111111111111
31,garfield,cat,0.125
32,scale,budget,0.16666666666666666
33,rhythm,blues,0.125
34,rich,privileges,0.1111111111111111
35,marble,marching,0.0625
36,battleship,army,0.058823529411764705
37,medium,organization,0.25
38,pennsylvania,writer,0.09090909090909091
39,hamlet,poet,0.08333333333333333
40,battle,prisoners,0.09090909090909091
41,guild,smith,0.08333333333333333
42,mud,soil,0.5
43,mussolini,stability,0.08333333333333333
44,lincoln,division,0.08333333333333333
45,slaves,insured,0.3333333333333333
46,summer,winter,0.3333333333333333
47,integration,dignity,0.1111111111111111
48,money,quota,0.125
49,honolulu,vacation,0.06666666666666667
50,cheers,musician,0.1
51,session,surprises,0.125
52,billion,campaigning,0.07142857142857142
53,perjury,soybean,0.05
54,forswearing,perjury,0.1111111111111111
55,costume,halloween,0.0625
56,bulgarian,nurses,0.14285714285714285
57,costume,ultimate,0.07692307692307693
58,faith,judging,0.125
59,france,bridges,0.1
60,recreation,dish,0.3333333333333333
61,intelligence,troubles,0.16666666666666666
62,germany,worst,0.0625
63,chaos,death,0.2
64,sydney,hancock,0.0625
65,sabbath,stevenson,0.06666666666666667
66,espionage,passport,0.07142857142857142
67,pipe,convertible,0.1
68,salute,patterns,0.125
69,radiation,costumes,0.09090909090909091
70,horace,grief,0.06666666666666667
71,sale,rental,0.2
72,open,close,0.1111111111111111
73,propaganda,germany,0.06666666666666667
74,mirror,duel,0.08333333333333333
75,probability,hanging,0.1111111111111111
76,africa,theater,0.125
77,hell,heaven,0.3333333333333333
78,mussolini,italy,0.07142857142857142
79,composer,beethoven,0.5
80,brussels,sweden,0.1111111111111111
81,neutral,parish,0.1
82,emotion,taxation,0.09090909090909091
83,louisiana,simple,0.08333333333333333
84,quarantine,disease,0.1
85,bronze,suspicion,0.1111111111111111
86,pearl,interim,0.1111111111111111
87,artist,paint,0.1
88,relay,family,0.2
89,art,mortality,0.125
90,food,investment,0.1111111111111111
91,alt,tenor,0.1111111111111111
92,catholics,protestant,0.3333333333333333
93,militia,landlord,0.07692307692307693
94,battle,warships,0.06666666666666667
95,coil,ashes,0.1111111111111111
96,poland,russia,0.25
97,explosive,builders,0.25
98,aeronautics,plane,0.07692307692307693
99,charge,sentence,0.125
100,drink,alcohol,0.5
101,stability,species,0.09090909090909091
102,colonies,depression,0.14285714285714285
103,easter,preference,0.06666666666666667
104,genius,intellect,0.5
105,slavery,african,0.09090909090909091
106,jurisdiction,law,0.125
107,saints,repeal,0.06666666666666667
108,conspiracy,campaign,0.09090909090909091
109,operator,extracts,0.125
110,physician,action,0.1
111,electronics,guess,0.07142857142857142
112,slavery,diamond,0.08333333333333333
113,quarterback,sport,0.2
114,slavery,klan,0.08333333333333333
115,heroin,shoot,0.07142857142857142
116,birds,disturbances,0.1
117,palestinians,turks,0.1111111111111111
118,citizenship,court,0.1
119,immunity,violation,0.09090909090909091
120,chile,plates,0.09090909090909091
121,abraham,stranger,0.14285714285714285
122,kansas,city,0.07692307692307693
123,month,year,0.3333333333333333
124,month,day,0.3333333333333333
125,amateur,actor,0.3333333333333333
126,afghanistan,war,0.06666666666666667
127,transmission,maxwell,0.1
128,drawing,music,0.2
129,exile,pledges,0.125
130,adventure,sixteen,0.07142857142857142
131,exile,threats,0.2
132,concrete,wings,0.14285714285714285
133,seizure,bishops,0.08333333333333333
134,submarine,sea,0.08333333333333333
135,villa,mayor,0.14285714285714285
136,nature,forest,0.16666666666666666
137,chronicle,young,0.1
138,radical,bishops,0.14285714285714285
139,pakistan,radical,0.08333333333333333
140,fire,water,0.3333333333333333
141,gossip,nuisance,0.16666666666666666
142,con,examiner,0.14285714285714285
143,satellite,space,0.14285714285714285
144,essay,boston,0.0625
145,miniature,statue,0.14285714285714285
146,spill,pollution,0.14285714285714285
147,minister,council,0.07142857142857142
148,landscape,mountain,0.1
149,religion,remedy,0.07692307692307693
150,ship,storm,0.0625
151,college,scientist,0.1111111111111111
152,afghanistan,wise,0.07142857142857142
153,trinity,religion,0.16666666666666666
154,homer,odyssey,0.09090909090909091
155,parish,clue,0.1111111111111111
156,actress,actor,0.5
157,patent,professionals,0.08333333333333333
158,acre,earthquake,0.09090909090909091
159,football,justice,0.125
160,gambling,money,0.08333333333333333
161,cardinals,villages,0.1
162,life,death,0.3333333333333333
163,artillery,sanctions,0.14285714285714285
164,cell,brick,0.16666666666666666
165,knowledge,promoter,0.09090909090909091
166,adventure,rails,0.058823529411764705
167,houston,crash,0.08333333333333333
168,oxford,subcommittee,0.058823529411764705
169,militia,weapon,0.09090909090909091
170,manufacturer,meat,0.1
171,damages,reaction,0.16666666666666666
172,sea,fishing,0.08333333333333333
173,broadcasting,athletics,0.125
174,mystery,expedition,0.07692307692307693
175,kremlin,soviets,0.05555555555555555
176,pig,blaze,0.125
177,riverside,vietnamese,0.09090909090909091
178,pork,blaze,0.07692307692307693
179,feet,international,0.07692307692307693
180,radical,uniform,0.1111111111111111
181,mozart,wagner,0.3333333333333333
182,soccer,boxing,0.25
183,radical,roles,0.14285714285714285
184,sales,season,0.1111111111111111
185,homeless,refugees,0.14285714285714285
186,pakistan,repair,0.125
187,athens,painting,0.07142857142857142
188,tiger,woods,0.2
189,aircraft,plane,0.3333333333333333
190,enterprise,bankruptcy,0.1111111111111111
191,homer,springfield,0.06666666666666667
192,coin,awards,0.08333333333333333
193,rhodes,native,0.2
194,soccer,curator,0.05555555555555555
195,gasoline,stock,0.125
196,rapid,singapore,0.1111111111111111
197,coin,banker,0.07142857142857142
198,london,correspondence,0.09090909090909091
199,pop,sex,0.1
200,medicine,bread,0.125
201,asia,animal,0.1111111111111111
202,pop,clubhouse,0.07692307692307693
203,nazi,defensive,0.09090909090909091
204,earth,poles,0.2
205,day,independence,0.14285714285714285
206,controversy,pitch,0.125
207,stock,gasoline,0.125
208,composers,mozart,0.5
209,tone,piano,0.25
210,paris,chef,0.06666666666666667
211,bankruptcy,chronicle,0.08333333333333333
212,lebanon,war,0.06666666666666667
213,israel,terror,0.09090909090909091
214,angola,military,0.0625
215,chemistry,patients,0.125
216,munich,constitution,0.07142857142857142
217,piano,theater,0.1111111111111111
218,poetry,artist,0.1
219,religion,abortion,0.1111111111111111
220,jazz,music,0.3333333333333333
221,government,transportation,0.14285714285714285
222,color,wine,0.2
223,jackson,quota,0.08333333333333333
224,boat,negroes,0.1
225,republicans,friedman,0.14285714285714285
226,politics,brokerage,0.1
227,russian,stalin,0.125
228,love,philip,0.14285714285714285
229,jamaica,queens,0.1111111111111111
230,dollar,asylum,0.07692307692307693
231,bridge,rowing,0.14285714285714285
232,berlin,germany,0.125
233,funeral,death,0.125
234,albert,einstein,0.125
235,gulf,shore,0.14285714285714285
236,ecuador,argentina,0.3333333333333333
237,britain,france,0.2
238,sports,score,0.1111111111111111
239,socialism,capitalism,0.16666666666666666
240,treaty,peace,0.5
241,exchange,market,0.2
242,marriage,anniversary,0.09090909090909091
