,word1,word2,sim
0,gem,jewel,1.0
1,midday,noon,1.0
2,automobile,car,1.0
3,cemetery,graveyard,1.0
4,cushion,pillow,0.5
5,boy,lad,0.5
6,cock,rooster,1.0
7,implement,tool,0.5
8,forest,woodland,1.0
9,coast,shore,0.5
10,autograph,signature,0.5
11,journey,voyage,0.5
12,serf,slave,0.25
13,grin,smile,1.0
14,glass,tumbler,0.5
15,cord,string,0.5
16,hill,mound,1.0
17,magician,wizard,1.0
18,furnace,stove,0.1
19,asylum,madhouse,0.5
20,brother,monk,0.5
21,food,fruit,0.1
22,bird,cock,0.5
23,bird,crane,0.25
24,oracle,sage,0.16666666666666666
25,sage,wizard,0.16666666666666666
26,brother,lad,0.2
27,crane,implement,0.2
28,magician,oracle,0.14285714285714285
29,glass,jewel,0.14285714285714285
30,cemetery,mound,0.09090909090909091
31,car,journey,0.05555555555555555
32,hill,woodland,0.16666666666666666
33,crane,rooster,0.125
34,furnace,implement,0.125
35,coast,hill,0.2
36,bird,woodland,0.1111111111111111
37,shore,voyage,0.06666666666666667
38,cemetery,woodland,0.1111111111111111
39,food,rooster,0.0625
40,forest,graveyard,0.1111111111111111
41,lad,wizard,0.2
42,mound,shore,0.2
43,automobile,cushion,0.1111111111111111
44,boy,sage,0.16666666666666666
45,monk,oracle,0.125
46,shore,woodland,0.2
47,grin,lad,0.08333333333333333
48,coast,forest,0.16666666666666666
49,asylum,cemetery,0.08333333333333333
50,monk,slave,0.2
51,cushion,jewel,0.14285714285714285
52,boy,rooster,0.08333333333333333
53,glass,magician,0.125
54,graveyard,madhouse,0.06666666666666667
55,asylum,monk,0.09090909090909091
56,asylum,fruit,0.14285714285714285
57,grin,implement,0.07692307692307693
58,mound,stove,0.14285714285714285
59,automobile,wizard,0.07692307692307693
60,autograph,shore,0.1
61,fruit,furnace,0.1111111111111111
62,noon,string,0.08333333333333333
63,rooster,voyage,0.041666666666666664
64,cord,smile,0.09090909090909091
