,word1,word2,sim
0,squishing,squirt,0.0
1,undated,undatable,0.0
2,circumvents,beat,0.0
3,circumvents,ebb,0.0
4,dispossess,deprive,0.0
5,provincialism,narrow-mindedness,0.5
6,provincialism,partiality,0.5
7,instrumentality,department,0.2
8,instrumentality,utility,0.5
9,involvement,action,0.3333333333333333
10,involvement,implication,0.5
11,ecclesiastic,clergyman,0.5
12,brigadier,general,0.3333333333333333
13,carbonic,chemical,0.0
14,carbonic,paper,0.0
15,aspirate,pronounce,0.0
16,aspirate,remove,0.09090909090909091
17,monotype,machine,0.25
18,incommensurate,incommensurable,0.0
19,campfires,fire,0.5
20,cognizance,knowing,0.5
21,urbanize,change,0.0
22,imperfection,state,0.5
23,assessment,charge,0.5
24,assessment,assay,0.5
25,incubate,breed,0.0
26,incubate,develop,0.0
27,principality,domain,0.5
28,vicarious,abnormal,0.0
29,vicarious,secondary,0.0
30,ungraceful,awkward,0.0
31,unsighted,color-blind,0.0
32,socialise,educate,0.0
33,socialise,swing,0.0
34,diagonals,line,0.5
35,diagonals,heterosexual,0.125
36,naturalise,adapt,0.0
37,insubordinate,rebellious,0.0
38,insubordinate,defiant,0.0
39,subdividing,subdivide,0.0
40,subdividing,separate,0.0
41,antifeminism,sexism,0.5
42,circumcising,cut,0.0
43,circumcising,remove,0.0
44,excommunicate,oust,0.0
45,accomplished,over,0.0
46,attackers,wrongdoer,0.5
47,contravened,disagree,0.0
48,contravened,transgress,0.0
49,tenderize,change,0.0
50,blithering,chatter,0.0
51,resurfacing,coat,0.0
52,resurfacing,surface,0.0
53,friendships,brotherhood,0.14285714285714285
54,soulfully,emotional,0.0
55,elector,voter,1.0
56,intentionality,intended,0.0
57,vulgarism,profanity,0.5
58,vulgarism,inelegance,0.5
59,preliterate,illiterate,0.0
60,preliterate,noncivilized,0.0
61,retrying,hear,0.0
62,wanderers,program,0.5
63,wanderers,nomad,0.5
64,marginalize,interact,0.0
65,hyperlink,link,0.5
66,inducted,admit,0.0
67,inducted,install,0.0
68,entrapping,capture,0.0
69,entrapping,deceive,0.0
70,alleviated,comfort,0.0
71,alleviated,help,0.0
72,radiators,beginning,0.14285714285714285
73,radiators,system,0.2
74,postmodernism,genre,0.5
75,excavations,site,0.5
76,excavations,removal,0.1
77,comfortable,cozy,0.0
78,unfeathered,unfledged,0.0
79,unfeathered,plucked,0.0
80,assigned,regiment,0.0
81,assigned,allow,0.0
82,listeners,eavesdropper,0.5
83,unheralded,unexpected,0.0
84,inabilities,insufficiency,0.5
85,inabilities,incomprehension,0.5
86,monocultures,culture,0.5
87,tricolour,flag,0.5
88,omnipotence,state,0.5
89,mingles,change,0.0
90,calcify,harden,0.0
91,calcify,change,0.0
92,disinheritance,discontinuance,0.5
93,interwove,braid,0.0
94,cession,relinquishment,0.5
95,dwarfish,small,0.0
96,assessments,charge,0.5
97,assessments,classification,0.5
98,prescriptions,medicine,0.5
99,prescriptions,direction,0.5
100,antipsychotic,lithium,0.09090909090909091
101,circumferential,peripheral,0.0
102,roosters,cockerel,0.5
103,nonpublic,private,0.0
104,yodeling,sing,0.0
105,yodeling,singing,0.5
106,autoerotic,sexy,0.0
107,unisons,concurrence,0.5
108,unisons,agreement,0.5
109,disassembled,destroy,0.0
110,preteens,juvenile,0.5
111,unaccessible,pathless,0.0
112,monogram,symbol,0.5
113,opalescence,brightness,0.5
114,estrogenic,hormone,0.0
115,misleading,beat,0.0
116,consubstantial,considerable,0.0
117,coeducation,education,0.5
118,canonical,standard,0.0
119,galvanic,exciting,0.0
120,nominated,nominate,0.0
121,nominated,choose,0.0
122,exceedance,probability,0.5
123,confide,consign,0.0
124,confide,unwrap,0.0
125,established,initiate,0.0
126,condescend,act,0.0
127,tricycle,pedicab,0.5
128,discharged,spread,0.0
129,postmodernist,artist,0.0
130,ruralist,rustic,0.5
131,ruralist,advocate,0.5
132,conjurors,enchantress,0.2
133,detestable,offensive,0.0
134,detestable,hateful,0.0
135,comparing,compare,0.06666666666666667
136,comparing,analogize,0.0
137,marketers,selling,0.06666666666666667
138,hypercoaster,roller,0.2
139,pittance,payment,0.5
140,soulless,insensitive,0.0
141,hypermarket,supermarket,0.5
142,confluent,branch,0.5
143,confluent,convergent,0.0
144,anterooms,building,0.2
145,reasoning,deduce,0.0
146,reasoning,re-argue,0.0
147,summonings,page,0.0625
148,summonings,demand,0.08333333333333333
149,preordained,predetermine,0.0
150,antechamber,room,0.5
