,word1,word2,sim
0,tiger,cat,0.5
1,tiger,tiger,1.0
2,plane,car,0.14285714285714285
3,train,car,0.16666666666666666
4,television,radio,0.3333333333333333
5,media,radio,0.25
6,bread,butter,0.25
7,cucumber,potato,0.25
8,doctor,nurse,0.25
9,professor,doctor,0.14285714285714285
10,student,professor,0.125
11,smart,stupid,0.07142857142857142
12,wood,forest,1.0
13,money,cash,0.3333333333333333
14,king,queen,1.0
15,king,rook,0.3333333333333333
16,bishop,rabbi,0.2
17,fuck,sex,0.3333333333333333
18,football,soccer,0.5
19,football,basketball,0.3333333333333333
20,football,tennis,0.16666666666666666
21,Arafat,Jackson,0.25
22,physics,chemistry,0.125
23,vodka,gin,0.3333333333333333
24,vodka,brandy,0.3333333333333333
25,car,automobile,1.0
26,gem,jewel,1.0
27,journey,voyage,0.5
28,boy,lad,0.5
29,coast,shore,0.5
30,asylum,madhouse,0.5
31,magician,wizard,1.0
32,midday,noon,1.0
33,furnace,stove,0.1
34,food,fruit,0.1
35,bird,cock,0.5
36,bird,crane,0.25
37,food,rooster,0.0625
38,money,dollar,0.2
39,money,currency,0.5
40,tiger,jaguar,0.3333333333333333
41,tiger,feline,0.3333333333333333
42,tiger,carnivore,0.25
43,tiger,mammal,0.16666666666666666
44,tiger,animal,0.25
45,tiger,organism,0.3333333333333333
46,tiger,fauna,0.25
47,psychology,psychiatry,0.14285714285714285
48,psychology,science,0.5
49,psychology,discipline,0.3333333333333333
50,planet,star,0.3333333333333333
51,planet,moon,0.25
52,planet,sun,0.25
53,precedent,example,0.5
54,precedent,antecedent,0.16666666666666666
55,cup,tableware,0.3333333333333333
56,cup,artifact,0.25
57,cup,object,0.16666666666666666
58,cup,entity,0.16666666666666666
59,jaguar,cat,0.5
60,jaguar,car,0.058823529411764705
61,mile,kilometer,0.25
62,skin,eye,0.16666666666666666
63,Japanese,American,0.25
64,century,year,0.3333333333333333
65,announcement,news,0.2
66,doctor,personnel,0.08333333333333333
67,Harvard,Yale,0.3333333333333333
68,hospital,infrastructure,0.08333333333333333
69,life,death,0.3333333333333333
70,travel,activity,0.16666666666666666
71,type,kind,0.5
72,street,place,0.16666666666666666
73,street,avenue,0.5
74,street,block,0.16666666666666666
75,cell,phone,0.3333333333333333
76,dividend,payment,0.3333333333333333
77,calculation,computation,1.0
78,profit,loss,0.16666666666666666
79,dollar,yen,0.25
80,dollar,buck,1.0
81,phone,equipment,0.3333333333333333
82,liquid,water,0.5
83,marathon,sprint,0.09090909090909091
84,seafood,food,0.5
85,seafood,lobster,0.3333333333333333
86,lobster,food,0.25
