,word1,word2,sim
0,car,automobile,7.591401417609093
1,gem,jewel,12.067704640264017
2,journey,voyage,6.825957625204375
3,boy,lad,8.399491822958641
4,coast,shore,9.415743905812851
5,asylum,madhouse,9.475167326283652
6,magician,wizard,11.980693263274388
7,midday,noon,11.064402531400233
8,furnace,stove,2.305848731451232
9,food,fruit,1.5927548636075812
10,bird,cock,7.677754930752808
11,bird,crane,7.677754930752808
12,tool,implement,5.87738923441087
13,brother,monk,9.261593225985592
14,lad,brother,2.333545243735693
15,crane,implement,3.2576790258866897
16,journey,car,0.0
17,monk,oracle,2.333545243735693
18,cemetery,woodland,1.2900256809649917
19,food,rooster,0.8017591149538994
20,coast,hill,5.884681030765606
21,forest,graveyard,1.2900256809649917
22,shore,woodland,1.2900256809649917
23,monk,slave,2.333545243735693
24,coast,forest,1.2900256809649917
25,lad,wizard,2.333545243735693
26,chord,smile,2.61964384137646
27,glass,magician,2.282647491973017
28,rooster,voyage,0.0
29,noon,string,0.5962292078977726
