,word1,word2,sim
0,squishing,squirt,0.0
1,undated,undatable,0.0
2,circumvents,beat,0.0
3,circumvents,ebb,0.0
4,dispossess,deprive,0.0
5,provincialism,narrow-mindedness,12.673840443834333
6,provincialism,partiality,10.75202784635808
7,instrumentality,department,4.752486250511043
8,instrumentality,utility,6.578766914107331
9,involvement,action,4.52385364840917
10,involvement,implication,10.40515690251597
11,ecclesiastic,clergyman,7.353272468351476
12,brigadier,general,7.232144494440949
13,carbonic,chemical,0.0
14,carbonic,paper,0.0
15,aspirate,pronounce,0.0
16,aspirate,remove,3.036577932314865
17,monotype,machine,6.926572857238393
18,incommensurate,incommensurable,0.0
19,campfires,fire,9.099623898040537
20,cognizance,knowing,6.432915037094768
21,urbanize,change,0.0
22,imperfection,state,3.139908049247135
23,assessment,charge,7.900334943027027
24,assessment,assay,8.050502953890792
25,incubate,breed,0.0
26,incubate,develop,0.0
27,principality,domain,8.430118480537631
28,vicarious,abnormal,0.0
29,vicarious,secondary,0.0
30,ungraceful,awkward,0.0
31,unsighted,color-blind,0.0
32,socialise,educate,0.0
33,socialise,swing,0.0
34,diagonals,line,8.097412726711896
35,diagonals,heterosexual,0.0
36,naturalise,adapt,0.0
37,insubordinate,rebellious,0.0
38,insubordinate,defiant,0.0
39,subdividing,subdivide,0.0
40,subdividing,separate,0.0
41,antifeminism,sexism,1e+300
42,circumcising,cut,0.0
43,circumcising,remove,0.0
44,excommunicate,oust,0.0
45,accomplished,over,0.0
46,attackers,wrongdoer,7.151713081428926
47,contravened,disagree,0.0
48,contravened,transgress,0.0
49,tenderize,change,0.0
50,blithering,chatter,0.0
51,resurfacing,coat,0.0
52,resurfacing,surface,0.0
53,friendships,brotherhood,3.139908049247135
54,soulfully,emotional,0.0
55,elector,voter,10.636958516573292
56,intentionality,intended,0.0
57,vulgarism,profanity,10.61545231135233
58,vulgarism,inelegance,11.469867639508397
59,preliterate,illiterate,0.0
60,preliterate,noncivilized,0.0
61,retrying,hear,0.0
62,wanderers,program,7.271163061962054
63,wanderers,nomad,11.133395402887183
64,marginalize,interact,0.0
65,hyperlink,link,11.330105697133238
66,inducted,admit,0.0
67,inducted,install,0.0
68,entrapping,capture,0.0
69,entrapping,deceive,0.0
70,alleviated,comfort,0.0
71,alleviated,help,0.0
72,radiators,beginning,1.2900256809649917
73,radiators,system,4.94037581120928
74,postmodernism,genre,10.854682000418164
75,excavations,site,8.351917733230156
76,excavations,removal,2.3322377550841122
77,comfortable,cozy,0.0
78,unfeathered,unfledged,0.0
79,unfeathered,plucked,0.0
80,assigned,regiment,0.0
81,assigned,allow,0.0
82,listeners,eavesdropper,10.75202784635808
83,unheralded,unexpected,0.0
84,inabilities,insufficiency,10.969092351595908
85,inabilities,incomprehension,8.94814701659768
86,monocultures,culture,10.246092207886281
87,tricolour,flag,8.50202056944394
88,omnipotence,state,3.139908049247135
89,mingles,change,0.0
90,calcify,harden,0.0
91,calcify,change,0.0
92,disinheritance,discontinuance,14.465599913062388
93,interwove,braid,0.0
94,cession,relinquishment,9.712009721956024
95,dwarfish,small,0.0
96,assessments,charge,7.900334943027027
97,assessments,classification,7.987090270853819
98,prescriptions,medicine,7.6587705526702115
99,prescriptions,direction,7.151047080738308
100,antipsychotic,lithium,3.33670590680296
101,circumferential,peripheral,0.0
102,roosters,cockerel,12.163014820068343
103,nonpublic,private,0.0
104,yodeling,sing,0.0
105,yodeling,singing,10.058880665798135
106,autoerotic,sexy,0.0
107,unisons,concurrence,10.776720458948452
108,unisons,agreement,8.451884757019586
109,disassembled,destroy,0.0
110,preteens,juvenile,7.387258333504717
111,unaccessible,pathless,0.0
112,monogram,symbol,4.741239026423695
113,opalescence,brightness,9.329801476012126
114,estrogenic,hormone,0.0
115,misleading,beat,0.0
116,consubstantial,considerable,0.0
117,coeducation,education,7.623984436584796
118,canonical,standard,0.0
119,galvanic,exciting,0.0
120,nominated,nominate,0.0
121,nominated,choose,0.0
122,exceedance,probability,8.67870253169568
123,confide,consign,0.0
124,confide,unwrap,0.0
125,established,initiate,0.0
126,condescend,act,0.0
127,tricycle,pedicab,1e+300
128,discharged,spread,0.0
129,postmodernist,artist,0.0
130,ruralist,rustic,10.354726048889077
131,ruralist,advocate,6.878289407039773
132,conjurors,enchantress,9.441719392216111
133,detestable,offensive,0.0
134,detestable,hateful,0.0
135,comparing,compare,0.5962292078977726
136,comparing,analogize,0.0
137,marketers,selling,0.0
