,word1,word2,sim
0,car,automobile,1.0
1,gem,jewel,1.0
2,journey,voyage,0.9523809523809523
3,boy,lad,0.9473684210526315
4,coast,shore,0.9090909090909091
5,asylum,madhouse,0.9523809523809523
6,magician,wizard,1.0
7,midday,noon,1.0
8,furnace,stove,0.5263157894736842
9,food,fruit,0.4
10,bird,cock,0.9523809523809523
11,bird,crane,0.8695652173913043
12,tool,implement,0.9333333333333333
13,brother,monk,0.9523809523809523
14,lad,brother,0.6666666666666666
15,crane,implement,0.75
16,journey,car,0.10526315789473684
17,monk,oracle,0.5714285714285714
18,cemetery,woodland,0.42857142857142855
19,food,rooster,0.21052631578947367
20,coast,hill,0.6666666666666666
21,forest,graveyard,0.42857142857142855
22,shore,woodland,0.6
23,monk,slave,0.6666666666666666
24,coast,forest,0.5454545454545454
25,lad,wizard,0.6666666666666666
26,chord,smile,0.375
27,glass,magician,0.47058823529411764
28,rooster,voyage,0.08
29,noon,string,0.26666666666666666
