,word1,word2,sim
0,water,shortage,0.26666666666666666
1,horse,wedding,0.5
2,plays,losses,0.8
3,classics,advertiser,0.6
4,latin,credit,0.42857142857142855
5,ship,ballots,0.1111111111111111
6,mistake,error,1.0
7,disease,plague,0.8333333333333334
8,sake,shade,0.5555555555555556
9,saints,observatory,0.5
10,treaty,wheat,0.23529411764705882
11,texas,death,0.23529411764705882
12,republicans,challenge,0.16666666666666666
13,admiralty,intensity,0.26666666666666666
14,heroin,marijuana,0.8235294117647058
15,scottish,commuters,0.11764705882352941
16,apollo,myth,0.21052631578947367
17,film,cautious,0.3333333333333333
18,exhibition,art,0.631578947368421
19,chocolate,candy,0.625
20,republic,candidate,0.18181818181818182
21,gospel,church,0.3333333333333333
22,singapore,sanctions,0.16666666666666666
23,english,french,0.8333333333333334
24,exile,church,0.5555555555555556
25,navy,coordinator,0.125
26,adventure,flood,0.5263157894736842
27,radar,plane,0.7
28,pacific,ocean,0.9090909090909091
29,scotch,liquor,0.9090909090909091
30,kennedy,gun,0.5555555555555556
31,garfield,cat,0.5217391304347826
32,scale,budget,0.6666666666666666
33,rhythm,blues,0.42857142857142855
34,rich,privileges,0.3333333333333333
35,marble,marching,0.21052631578947367
36,battleship,army,0.1111111111111111
37,medium,organization,0.8
38,pennsylvania,writer,0.4444444444444444
39,hamlet,poet,0.35294117647058826
40,battle,prisoners,0.16666666666666666
41,guild,smith,0.15384615384615385
42,mud,soil,0.9411764705882353
43,mussolini,stability,0.15384615384615385
44,lincoln,division,0.15384615384615385
45,slaves,insured,0.75
46,summer,winter,0.8571428571428571
47,integration,dignity,0.3333333333333333
48,money,quota,0.5333333333333333
49,honolulu,vacation,0.125
50,cheers,musician,0.18181818181818182
51,session,surprises,0.5333333333333333
52,billion,campaigning,0.23529411764705882
53,perjury,soybean,0.09523809523809523
54,forswearing,perjury,0.5555555555555556
55,costume,halloween,0.11764705882352941
56,bulgarian,nurses,0.6
57,costume,ultimate,0.14285714285714285
58,faith,judging,0.5333333333333333
59,france,bridges,0.47058823529411764
60,recreation,dish,0.8571428571428571
61,intelligence,troubles,0.7058823529411765
62,germany,worst,0.11764705882352941
63,chaos,death,0.7142857142857143
64,sydney,hancock,0.2857142857142857
65,sabbath,stevenson,0.125
66,espionage,passport,0.23529411764705882
67,pipe,convertible,0.5714285714285714
68,salute,patterns,0.46153846153846156
69,radiation,costumes,0.2857142857142857
70,horace,grief,0.125
71,sale,rental,0.7777777777777778
72,open,close,0.4
73,propaganda,germany,0.125
74,mirror,duel,0.35294117647058826
75,probability,hanging,0.3333333333333333
76,africa,theater,0.46153846153846156
77,hell,heaven,0.8888888888888888
78,mussolini,italy,0.3157894736842105
79,composer,beethoven,0.9565217391304348
80,brussels,sweden,0.6363636363636364
81,neutral,parish,0.4
82,emotion,taxation,0.2857142857142857
83,louisiana,simple,0.35294117647058826
84,quarantine,disease,0.47058823529411764
85,bronze,suspicion,0.42857142857142855
86,pearl,interim,0.3333333333333333
87,artist,paint,0.47058823529411764
88,relay,family,0.75
89,art,mortality,0.36363636363636365
90,food,investment,0.4
91,alt,tenor,0.3333333333333333
92,catholics,protestant,0.9
93,militia,landlord,0.14285714285714285
94,battle,warships,0.125
95,coil,ashes,0.4444444444444444
96,poland,russia,0.8421052631578947
97,explosive,builders,0.8
98,aeronautics,plane,0.25
99,charge,sentence,0.5555555555555556
100,drink,alcohol,0.9411764705882353
101,stability,species,0.2857142857142857
102,colonies,depression,0.5
103,easter,preference,0.2222222222222222
104,genius,intellect,0.8571428571428571
105,slavery,african,0.16666666666666666
106,jurisdiction,law,0.36363636363636365
107,saints,repeal,0.3
108,conspiracy,campaign,0.3157894736842105
109,operator,extracts,0.42857142857142855
110,physician,action,0.38095238095238093
111,electronics,guess,0.36363636363636365
112,slavery,diamond,0.35294117647058826
113,quarterback,sport,0.8181818181818182
114,slavery,klan,0.26666666666666666
115,heroin,shoot,0.23529411764705882
116,birds,disturbances,0.3076923076923077
117,palestinians,turks,0.5454545454545454
118,citizenship,court,0.3076923076923077
119,immunity,violation,0.5
120,chile,plates,0.5
121,abraham,stranger,0.6
122,kansas,city,0.3
123,month,year,0.8333333333333334
124,month,day,0.8333333333333334
125,amateur,actor,0.75
126,afghanistan,war,0.125
127,transmission,maxwell,0.4
128,drawing,music,0.75
129,exile,pledges,0.5714285714285714
130,adventure,sixteen,0.23529411764705882
131,exile,threats,0.6666666666666666
132,concrete,wings,0.625
133,seizure,bishops,0.26666666666666666
134,submarine,sea,0.26666666666666666
135,villa,mayor,0.6
136,nature,forest,0.5
137,chronicle,young,0.3076923076923077
138,radical,bishops,0.6
139,pakistan,radical,0.35294117647058826
140,fire,water,0.8571428571428571
141,gossip,nuisance,0.631578947368421
142,con,examiner,0.6
143,satellite,space,0.625
144,essay,boston,0.11764705882352941
145,miniature,statue,0.7
146,spill,pollution,0.7
147,minister,council,0.23529411764705882
148,landscape,mountain,0.4
149,religion,remedy,0.3333333333333333
150,ship,storm,0.21052631578947367
151,college,scientist,0.5
152,afghanistan,wise,0.3157894736842105
153,trinity,religion,0.7058823529411765
154,homer,odyssey,0.5454545454545454
155,parish,clue,0.3333333333333333
156,actress,actor,0.9523809523809523
157,patent,professionals,0.15384615384615385
158,acre,earthquake,0.2857142857142857
159,football,justice,0.5882352941176471
160,gambling,money,0.26666666666666666
161,cardinals,villages,0.3076923076923077
162,life,death,0.8571428571428571
