,word1,word2,sim
0,gem,jewel,1.0
1,midday,noon,1.0
2,automobile,car,1.0
3,cemetery,graveyard,1.0
4,cushion,pillow,0.9333333333333333
5,boy,lad,0.9473684210526315
6,cock,rooster,1.0
7,implement,tool,0.9333333333333333
8,forest,woodland,1.0
9,coast,shore,0.9090909090909091
10,autograph,signature,0.9333333333333333
11,journey,voyage,0.9523809523809523
12,serf,slave,0.631578947368421
13,grin,smile,1.0
14,glass,tumbler,0.9411764705882353
15,cord,string,0.9333333333333333
16,hill,mound,1.0
17,magician,wizard,1.0
18,furnace,stove,0.5263157894736842
19,asylum,madhouse,0.9523809523809523
20,brother,monk,0.9523809523809523
21,food,fruit,0.4
22,bird,cock,0.9523809523809523
23,bird,crane,0.8695652173913043
24,oracle,sage,0.5714285714285714
25,sage,wizard,0.631578947368421
26,brother,lad,0.6666666666666666
27,crane,implement,0.75
28,magician,oracle,0.6
29,glass,jewel,0.5882352941176471
30,cemetery,mound,0.375
31,car,journey,0.10526315789473684
32,hill,woodland,0.5454545454545454
33,crane,rooster,0.7407407407407407
34,furnace,implement,0.5882352941176471
35,coast,hill,0.6666666666666666
36,bird,woodland,0.4
37,shore,voyage,0.125
38,cemetery,woodland,0.42857142857142855
39,food,rooster,0.21052631578947367
40,forest,graveyard,0.42857142857142855
41,lad,wizard,0.6666666666666666
42,mound,shore,0.6666666666666666
43,automobile,cushion,0.6
44,boy,sage,0.631578947368421
45,monk,oracle,0.5714285714285714
46,shore,woodland,0.6
47,grin,lad,0.15384615384615385
48,coast,forest,0.5454545454545454
49,asylum,cemetery,0.35294117647058826
50,monk,slave,0.6666666666666666
51,cushion,jewel,0.625
52,boy,rooster,0.5217391304347826
53,glass,magician,0.47058823529411764
54,graveyard,madhouse,0.3
55,asylum,monk,0.4444444444444444
56,asylum,fruit,0.625
57,grin,implement,0.14285714285714285
58,mound,stove,0.631578947368421
59,automobile,wizard,0.4
60,autograph,shore,0.18181818181818182
61,fruit,furnace,0.5555555555555556
62,noon,string,0.26666666666666666
63,rooster,voyage,0.08
64,cord,smile,0.2857142857142857
