,word1,word2,sim
0,squishing,squirt,0.0
1,undated,undatable,0.0
2,circumvents,beat,0.0
3,circumvents,ebb,0.0
4,dispossess,deprive,0.0
5,provincialism,narrow-mindedness,0.9333333333333333
6,provincialism,partiality,0.9333333333333333
7,instrumentality,department,0.75
8,instrumentality,utility,0.9090909090909091
9,involvement,action,0.7692307692307693
10,involvement,implication,0.9090909090909091
11,ecclesiastic,clergyman,0.9523809523809523
12,brigadier,general,0.9333333333333333
13,carbonic,chemical,0.0
14,carbonic,paper,0.0
15,aspirate,pronounce,0.0
16,aspirate,remove,0.375
17,monotype,machine,0.8421052631578947
18,incommensurate,incommensurable,0.0
19,campfires,fire,0.9230769230769231
20,cognizance,knowing,0.9333333333333333
21,urbanize,change,0.0
22,imperfection,state,0.8888888888888888
23,assessment,charge,0.9230769230769231
24,assessment,assay,0.9411764705882353
25,incubate,breed,0.0
26,incubate,develop,0.0
27,principality,domain,0.9230769230769231
28,vicarious,abnormal,0.0
29,vicarious,secondary,0.0
30,ungraceful,awkward,0.0
31,unsighted,color-blind,0.0
32,socialise,educate,0.0
33,socialise,swing,0.0
34,diagonals,line,0.9230769230769231
35,diagonals,heterosexual,0.2222222222222222
36,naturalise,adapt,0.0
37,insubordinate,rebellious,0.0
38,insubordinate,defiant,0.0
39,subdividing,subdivide,0.0
40,subdividing,separate,0.0
41,antifeminism,sexism,0.9473684210526315
42,circumcising,cut,0.0
43,circumcising,remove,0.0
44,excommunicate,oust,0.0
45,accomplished,over,0.0
46,attackers,wrongdoer,0.631578947368421
47,contravened,disagree,0.0
48,contravened,transgress,0.0
49,tenderize,change,0.0
50,blithering,chatter,0.0
51,resurfacing,coat,0.0
52,resurfacing,surface,0.0
53,friendships,brotherhood,0.5714285714285714
54,soulfully,emotional,0.0
55,elector,voter,1.0
56,intentionality,intended,0.0
57,vulgarism,profanity,0.9230769230769231
58,vulgarism,inelegance,0.9090909090909091
59,preliterate,illiterate,0.0
60,preliterate,noncivilized,0.0
61,retrying,hear,0.0
62,wanderers,program,0.9473684210526315
63,wanderers,nomad,0.9473684210526315
64,marginalize,interact,0.0
65,hyperlink,link,0.9473684210526315
66,inducted,admit,0.0
67,inducted,install,0.0
68,entrapping,capture,0.0
69,entrapping,deceive,0.0
70,alleviated,comfort,0.0
71,alleviated,help,0.0
72,radiators,beginning,0.5
73,radiators,system,0.75
74,postmodernism,genre,0.9411764705882353
75,excavations,site,0.9411764705882353
76,excavations,removal,0.5263157894736842
77,comfortable,cozy,0.0
78,unfeathered,unfledged,0.0
79,unfeathered,plucked,0.0
80,assigned,regiment,0.0
81,assigned,allow,0.0
82,listeners,eavesdropper,0.9473684210526315
83,unheralded,unexpected,0.0
84,inabilities,insufficiency,0.9090909090909091
85,inabilities,incomprehension,0.9090909090909091
86,monocultures,culture,0.9629629629629629
87,tricolour,flag,0.9473684210526315
88,omnipotence,state,0.8888888888888888
89,mingles,change,0.0
90,calcify,harden,0.0
91,calcify,change,0.0
92,disinheritance,discontinuance,0.9523809523809523
93,interwove,braid,0.0
94,cession,relinquishment,0.9523809523809523
95,dwarfish,small,0.0
96,assessments,charge,0.9230769230769231
97,assessments,classification,0.9333333333333333
98,prescriptions,medicine,0.9333333333333333
99,prescriptions,direction,0.9090909090909091
100,antipsychotic,lithium,0.375
101,circumferential,peripheral,0.0
102,roosters,cockerel,0.9655172413793104
103,nonpublic,private,0.0
104,yodeling,sing,0.0
105,yodeling,singing,0.8148148148148148
106,autoerotic,sexy,0.0
107,unisons,concurrence,0.9473684210526315
108,unisons,agreement,0.9333333333333333
109,disassembled,destroy,0.0
110,preteens,juvenile,0.7058823529411765
111,unaccessible,pathless,0.0
112,monogram,symbol,0.9090909090909091
113,opalescence,brightness,0.9333333333333333
114,estrogenic,hormone,0.0
115,misleading,beat,0.0
116,consubstantial,considerable,0.0
117,coeducation,education,0.9333333333333333
118,canonical,standard,0.0
119,galvanic,exciting,0.0
120,nominated,nominate,0.0
121,nominated,choose,0.0
122,exceedance,probability,0.8888888888888888
123,confide,consign,0.0
124,confide,unwrap,0.0
125,established,initiate,0.0
126,condescend,act,0.0
127,tricycle,pedicab,0.9523809523809523
128,discharged,spread,0.0
129,postmodernist,artist,0.0
130,ruralist,rustic,0.6666666666666666
131,ruralist,advocate,0.7058823529411765
132,conjurors,enchantress,0.631578947368421
133,detestable,offensive,0.0
134,detestable,hateful,0.0
135,comparing,compare,0.2222222222222222
