,word1,word2,sim
0,tiger,cat,0.9655172413793104
1,tiger,tiger,1.0
2,plane,car,0.7272727272727273
3,train,car,0.7368421052631579
4,television,radio,0.9090909090909091
5,media,radio,0.8235294117647058
6,bread,butter,0.75
7,cucumber,potato,0.8235294117647058
8,doctor,nurse,0.8695652173913043
9,professor,doctor,0.5454545454545454
10,student,professor,0.5714285714285714
11,smart,stupid,0.13333333333333333
12,wood,forest,1.0
13,money,cash,0.875
14,king,queen,1.0
15,king,rook,0.9090909090909091
16,bishop,rabbi,0.5454545454545454
17,fuck,sex,0.8571428571428571
18,football,soccer,0.96
19,football,basketball,0.9
20,football,tennis,0.782608695652174
21,Arafat,Jackson,0.5714285714285714
22,physics,chemistry,0.46153846153846156
23,vodka,gin,0.9090909090909091
24,vodka,brandy,0.9090909090909091
25,car,automobile,1.0
26,gem,jewel,1.0
27,journey,voyage,0.9523809523809523
28,boy,lad,0.9473684210526315
29,coast,shore,0.9090909090909091
30,asylum,madhouse,0.9523809523809523
31,magician,wizard,1.0
32,midday,noon,1.0
33,furnace,stove,0.5263157894736842
34,food,fruit,0.4
35,bird,cock,0.9523809523809523
36,bird,crane,0.8695652173913043
37,food,rooster,0.21052631578947367
38,money,dollar,0.7777777777777778
39,money,currency,0.9333333333333333
40,tiger,jaguar,0.9333333333333333
41,tiger,feline,0.9285714285714286
42,tiger,carnivore,0.8888888888888888
43,tiger,mammal,0.8
44,tiger,animal,0.8
45,tiger,organism,0.8571428571428571
46,tiger,fauna,0.8
47,psychology,psychiatry,0.7272727272727273
48,psychology,science,0.9411764705882353
49,psychology,discipline,0.875
50,planet,star,0.8571428571428571
51,planet,moon,0.8
52,planet,sun,0.8
53,precedent,example,0.9230769230769231
54,precedent,antecedent,0.6153846153846154
55,cup,tableware,0.8888888888888888
56,cup,artifact,0.7692307692307693
57,cup,object,0.5454545454545454
58,cup,entity,0.2857142857142857
59,jaguar,cat,0.9655172413793104
60,jaguar,car,0.3333333333333333
61,mile,kilometer,0.8
62,skin,eye,0.6666666666666666
63,Japanese,American,0.631578947368421
64,century,year,0.8333333333333334
65,announcement,news,0.6666666666666666
66,doctor,personnel,0.26666666666666666
67,Harvard,Yale,0.9166666666666666
68,hospital,infrastructure,0.26666666666666666
69,life,death,0.8571428571428571
70,travel,activity,0.6666666666666666
71,type,kind,0.9473684210526315
72,street,place,0.6153846153846154
73,street,avenue,0.9473684210526315
74,street,block,0.6666666666666666
75,cell,phone,0.9
76,dividend,payment,0.8888888888888888
77,calculation,computation,1.0
78,profit,loss,0.7058823529411765
79,dollar,yen,0.8
80,dollar,buck,1.0
81,phone,equipment,0.875
82,liquid,water,0.9333333333333333
83,marathon,sprint,0.5
84,seafood,food,0.9090909090909091
85,seafood,lobster,0.8571428571428571
86,lobster,food,0.7692307692307693
87,lobster,wine,0.375
88,championship,tournament,0.8571428571428571
89,man,woman,0.7058823529411765
90,man,governor,0.6666666666666666
91,murder,manslaughter,0.9166666666666666
92,opera,performance,0.3076923076923077
93,Mexico,Brazil,0.8
94,glass,metal,0.5454545454545454
95,aluminum,metal,0.9333333333333333
96,rock,jazz,0.875
97,museum,theater,0.625
98,shower,thunderstorm,0.7
99,monk,oracle,0.5714285714285714
100,cup,food,0.6666666666666666
101,journal,association,0.4
102,street,children,0.47058823529411764
103,car,flight,0.5882352941176471
104,space,chemistry,0.4444444444444444
105,situation,conclusion,0.625
106,word,similarity,0.45454545454545453
107,peace,plan,0.3076923076923077
108,consumer,energy,0.3076923076923077
109,ministry,culture,0.5333333333333333
110,smart,student,0.13333333333333333
111,investigation,effort,0.8235294117647058
112,image,surface,0.7142857142857143
113,life,term,0.8571428571428571
114,start,match,0.5714285714285714
115,computer,news,0.16666666666666666
116,board,recommendation,0.26666666666666666
117,lad,brother,0.6666666666666666
118,observation,architecture,0.7058823529411765
119,coast,hill,0.6666666666666666
120,deployment,departure,0.7142857142857143
121,benchmark,index,0.7692307692307693
122,attempt,peace,0.3076923076923077
123,consumer,confidence,0.15384615384615385
124,start,year,0.5454545454545454
125,focus,life,0.5333333333333333
126,development,issue,0.75
127,theater,history,0.5
128,situation,isolation,0.7272727272727273
129,profit,warning,0.2857142857142857
130,media,trading,0.625
131,chance,credibility,0.5
132,precedent,information,0.8333333333333334
133,architecture,century,0.3076923076923077
134,population,development,0.7272727272727273
135,peace,atmosphere,0.7142857142857143
136,morality,marriage,0.5454545454545454
137,minority,peace,0.6153846153846154
138,atmosphere,landscape,0.5
139,report,gain,0.36363636363636365
140,music,project,0.8
141,seven,series,0.375
142,experience,music,0.6153846153846154
143,school,center,0.875
144,five,month,0.46153846153846156
145,announcement,production,0.5
146,morality,importance,0.6666666666666666
147,money,operation,0.3333333333333333
148,delay,news,0.5333333333333333
149,governor,interview,0.13333333333333333
150,practice,institution,0.8333333333333334
151,century,nation,0.36363636363636365
152,coast,forest,0.5454545454545454
153,shore,woodland,0.6
154,drink,car,0.2857142857142857
155,president,medal,0.23529411764705882
156,prejudice,recognition,0.6666666666666666
157,viewer,serial,0.5
158,peace,insurance,0.8235294117647058
159,Mars,water,0.5
160,media,gain,0.5
161,precedent,cognition,0.7272727272727273
162,announcement,effort,0.3076923076923077
163,line,insurance,0.7142857142857143
164,crane,implement,0.75
165,drink,mother,0.6153846153846154
166,opera,industry,0.2857142857142857
167,volunteer,motto,0.15384615384615385
168,listing,proximity,0.3157894736842105
169,precedent,collection,0.8
170,cup,article,0.75
171,sign,recess,0.75
172,problem,airport,0.13333333333333333
173,reason,hypertension,0.5555555555555556
174,direction,combination,0.6666666666666666
175,Wednesday,news,0.26666666666666666
176,glass,magician,0.47058823529411764
177,cemetery,woodland,0.42857142857142855
178,possibility,girl,0.16666666666666666
179,cup,substance,0.5714285714285714
180,forest,graveyard,0.42857142857142855
181,stock,egg,0.625
182,month,hotel,0.15384615384615385
183,energy,secretary,0.2857142857142857
184,precedent,group,0.6666666666666666
185,production,hike,0.5882352941176471
186,stock,phone,0.7
187,holy,sex,0.3076923076923077
188,stock,CD,0.7368421052631579
189,drink,ear,0.46153846153846156
190,delay,racism,0.625
191,stock,life,0.6153846153846154
192,stock,jaguar,0.8148148148148148
193,monk,slave,0.6666666666666666
194,lad,wizard,0.6666666666666666
195,sugar,approach,0.2857142857142857
196,rooster,voyage,0.08
197,noon,string,0.26666666666666666
198,chord,smile,0.375
199,professor,cucumber,0.5
200,king,cabbage,0.5714285714285714
